# ESMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.00364 0 1 0.99636 1 1
 52 0.35661 0 0 0.64339 0 0
 53 0.11982 0 0 0.88018 0 0
 54 0.20044 1 6 0.79956 5 6
 55 0.46308 2 5 0.53692 3 5
 56 0.26492 2 9 0.73508 7 9
 57 0.36854 3 7 0.63146 4 7
 58 0.57252 1 2 0.42748 1 2
 59 0.35257 0 1 0.64743 1 1
 60 0.13348 0 1 0.86652 1 1
 61 0.23012 0 2 0.76988 1 2
 62 0.21943 1 2 0.78057 2 2
 63 0.08588 0 2 0.91412 2 2
 64 0.23175 1 4 0.76825 3 4
 65 0.16209 0 2 0.83791 2 2
 66 0.18079 0 2 0.81921 2 2
 67 0.24504 1 3 0.75496 2 3
 68 0.17415 0 3 0.82585 2 3
 69 0.11896 0 2 0.88104 2 2
 70 0.11261 0 2 0.88739 2 2
 71 0.05938 0 2 0.94062 1 2
 72 0.07852 0 2 0.92148 2 2
 73 0.04818 0 1 0.95182 1 1
 74 0.05487 0 2 0.94513 2 2
 75 0.07374 0 2 0.92626 2 2
 76 0.20618 0 1 0.79382 1 1
 77 0.15990 0 2 0.84010 1 2
 78 0.08279 0 2 0.91721 2 2
 79 0.01903 0 2 0.98097 2 2
 80 0.07258 0 1 0.92742 1 1
 81 0.08963 0 1 0.91037 1 1
 82 0.11326 0 2 0.88674 1 2
 83 0.11124 0 1 0.88876 1 1
 84 0.23916 0 1 0.76084 1 1
 85 0.00999 0 1 0.99001 1 1
 86 0.10231 0 1 0.89769 1 1
 87 0.39240 0 1 0.60760 0 1
 88 0.08546 0 1 0.91454 1 1
 89 0.00000 0 0 1.00000 0 0
 90 0.00606 0 0 0.99394 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
