# FRFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 2 2 0.00000 0 2
 52 0.88452 3 3 0.11548 0 3
 53 0.93771 3 4 0.06229 0 4
 54 0.95544 3 3 0.04456 0 3
 55 0.98634 2 2 0.01366 0 2
 56 0.92314 3 3 0.07686 0 3
 57 0.93572 2 2 0.06428 0 2
 58 0.97189 2 2 0.02811 0 2
 59 0.96515 2 2 0.03485 0 2
 60 0.90334 2 2 0.09666 0 2
 61 0.95787 3 3 0.04213 0 3
 62 0.92805 3 3 0.07195 0 3
 63 0.91352 3 3 0.08648 0 3
 64 0.90985 3 3 0.09015 0 3
 65 0.92182 2 2 0.07818 0 2
 66 0.94302 3 3 0.05698 0 3
 67 0.91456 2 3 0.08544 0 3
 68 0.95747 2 3 0.04253 0 3
 69 0.96152 2 2 0.03848 0 2
 70 0.91136 1 2 0.08864 0 2
 71 0.93255 2 2 0.06745 0 2
 72 0.82034 2 2 0.17966 0 2
 73 0.93101 1 1 0.06899 0 1
 74 0.76473 1 2 0.23527 0 2
 75 0.83698 2 2 0.16302 0 2
 76 0.79274 1 1 0.20726 0 1
 77 0.72643 1 2 0.27357 1 2
 78 0.84689 1 1 0.15311 0 1
 79 0.84231 1 2 0.15769 0 2
 80 0.75390 1 2 0.24610 0 2
 81 0.62624 1 2 0.37376 1 2
 82 0.96524 1 1 0.03476 0 1
 83 0.65905 1 1 0.34095 0 1
 84 0.76242 1 1 0.23758 0 1
 85 0.75420 1 1 0.24580 0 1
 86 0.57847 1 1 0.42153 0 1
 87 0.74829 1 1 0.25171 0 1
 88 0.54995 0 1 0.45005 0 1
 89 0.52199 0 1 0.47801 0 1
 90 0.54220 0 1 0.45780 0 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
