# FRFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.89922 2 2 0.10078 0 2
 52 0.85799 3 3 0.14201 0 3
 53 0.93137 3 4 0.06863 0 4
 54 0.90235 3 3 0.09765 0 3
 55 0.97337 2 2 0.02663 0 2
 56 0.84055 2 3 0.15945 0 3
 57 0.95203 2 2 0.04797 0 2
 58 0.97105 2 2 0.02895 0 2
 59 0.89808 2 2 0.10192 0 2
 60 0.93584 2 2 0.06416 0 2
 61 0.92240 3 3 0.07760 0 3
 62 0.94859 3 3 0.05141 0 3
 63 0.83758 2 3 0.16242 0 3
 64 0.87451 3 3 0.12549 0 3
 65 0.91981 2 2 0.08019 0 2
 66 0.94973 3 3 0.05027 0 3
 67 0.91432 3 3 0.08568 0 3
 68 0.92381 2 3 0.07619 0 3
 69 0.92379 2 2 0.07621 0 2
 70 0.84314 1 2 0.15686 0 2
 71 0.93015 2 2 0.06985 0 2
 72 0.90540 2 2 0.09460 0 2
 73 0.86670 1 1 0.13330 0 1
 74 0.89859 1 2 0.10141 0 2
 75 0.72519 1 2 0.27481 1 2
 76 0.79937 1 1 0.20063 0 1
 77 0.78820 1 2 0.21180 0 2
 78 0.77478 1 1 0.22522 0 1
 79 0.75979 1 2 0.24021 0 2
 80 0.82593 1 2 0.17407 0 2
 81 0.69641 1 2 0.30359 0 2
 82 0.76619 1 1 0.23381 0 1
 83 0.67956 1 1 0.32044 0 1
 84 0.77239 1 1 0.22761 0 1
 85 0.56881 1 1 0.43119 0 1
 86 0.70750 1 1 0.29250 0 1
 87 0.52163 0 1 0.47837 0 1
 88 0.67871 1 1 0.32129 0 1
 89 0.45668 0 1 0.54332 0 1
 90 0.39974 0 1 0.60026 0 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
