# FRMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.95059 3 3 0.04941 0 3
 52 0.82155 2 3 0.17845 1 3
 53 1.00000 2 2 0.00000 0 2
 54 0.89955 3 3 0.10045 0 3
 55 0.91341 3 3 0.08659 0 3
 56 0.82111 3 4 0.17889 1 4
 57 0.95603 3 3 0.04397 0 3
 58 0.97529 1 1 0.02471 0 1
 59 0.89567 2 2 0.10433 0 2
 60 0.90076 2 3 0.09924 0 3
 61 0.89737 3 3 0.10263 0 3
 62 0.86280 3 3 0.13720 0 3
 63 0.84593 3 3 0.15407 0 3
 64 0.89883 3 4 0.10117 0 4
 65 0.88061 3 3 0.11939 0 3
 66 0.90548 2 2 0.09452 0 2
 67 0.85115 2 3 0.14885 0 3
 68 0.93946 3 3 0.06054 0 3
 69 0.92195 2 2 0.07805 0 2
 70 0.90965 2 2 0.09035 0 2
 71 0.86454 1 2 0.13546 0 2
 72 0.76318 2 2 0.23682 0 2
 73 0.74138 1 1 0.25862 0 1
 74 0.79449 1 2 0.20551 0 2
 75 0.80236 1 2 0.19764 0 2
 76 0.73330 1 2 0.26670 0 2
 77 0.77470 1 1 0.22530 0 1
 78 0.94821 1 1 0.05179 0 1
 79 0.85577 1 1 0.14423 0 1
 80 0.71324 1 1 0.28676 0 1
 81 0.61787 1 1 0.38213 0 1
 82 0.84371 1 1 0.15629 0 1
 83 0.67690 1 1 0.32310 0 1
 84 0.78417 1 1 0.21583 0 1
 85 0.65016 0 0 0.34984 0 0
 86 0.74337 0 0 0.25663 0 0
 87 0.51553 1 1 0.48447 0 1
 88 0.72623 0 0 0.27377 0 0
 89 0.50313 0 0 0.49687 0 0
 90 0.68369 0 0 0.31631 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
