# GRFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 2 2 0.00000 0 2
 52 1.00000 1 1 0.00000 0 1
 53 0.95682 1 1 0.04318 0 1
 54 1.00000 2 2 0.00000 0 2
 55 0.97193 2 2 0.02807 0 2
 56 0.92318 1 1 0.07682 0 1
 57 0.95517 1 1 0.04483 0 1
 58 0.96356 1 2 0.03644 0 2
 59 1.00000 2 2 0.00000 0 2
 60 0.96096 2 2 0.03904 0 2
 61 0.97440 2 2 0.02560 0 2
 62 0.96054 2 2 0.03946 0 2
 63 0.97242 2 2 0.02758 0 2
 64 0.94078 2 2 0.05922 0 2
 65 0.97183 2 2 0.02817 0 2
 66 0.94870 2 2 0.05130 0 2
 67 0.94292 2 2 0.05708 0 2
 68 0.95027 1 1 0.04973 0 1
 69 0.98228 2 2 0.01772 0 2
 70 0.92266 2 2 0.07734 0 2
 71 0.94523 2 2 0.05477 0 2
 72 0.88282 1 1 0.11718 0 1
 73 0.88259 1 1 0.11741 0 1
 74 0.94443 1 1 0.05557 0 1
 75 0.92387 1 2 0.07613 0 2
 76 0.80716 1 2 0.19284 0 2
 77 0.82102 1 2 0.17898 0 2
 78 0.85461 1 1 0.14539 0 1
 79 0.82429 1 2 0.17571 0 2
 80 0.91967 2 2 0.08033 0 2
 81 0.82452 2 2 0.17548 0 2
 82 0.87059 1 1 0.12941 0 1
 83 0.69336 1 2 0.30664 1 2
 84 0.78958 1 1 0.21042 0 1
 85 0.82682 1 1 0.17318 0 1
 86 0.47983 0 1 0.52017 0 1
 87 0.66398 1 1 0.33602 0 1
 88 0.63446 0 1 0.36554 0 1
 89 0.41426 0 1 0.58574 0 1
 90 0.29844 0 0 0.70156 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
