# GRMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.97900 2 2 0.02100 0 2
 52 1.00000 1 1 0.00000 0 1
 53 0.91932 1 1 0.08068 0 1
 54 1.00000 1 1 0.00000 0 1
 55 1.00000 2 2 0.00000 0 2
 56 1.00000 1 1 0.00000 0 1
 57 0.95884 1 1 0.04116 0 1
 58 0.95584 1 1 0.04416 0 1
 59 0.97069 1 1 0.02931 0 1
 60 0.93242 1 1 0.06758 0 1
 61 1.00000 2 2 0.00000 0 2
 62 0.98044 2 2 0.01956 0 2
 63 1.00000 3 3 0.00000 0 3
 64 1.00000 2 2 0.00000 0 2
 65 0.97373 2 2 0.02627 0 2
 66 0.92248 2 2 0.07752 0 2
 67 0.96291 2 2 0.03709 0 2
 68 0.97748 2 2 0.02252 0 2
 69 0.98106 2 2 0.01894 0 2
 70 0.92347 2 2 0.07653 0 2
 71 0.94159 2 2 0.05841 0 2
 72 0.92517 2 2 0.07483 0 2
 73 1.00000 2 2 0.00000 0 2
 74 0.93491 1 1 0.06509 0 1
 75 0.97624 2 2 0.02376 0 2
 76 0.88677 1 1 0.11323 0 1
 77 0.88003 2 2 0.11997 0 2
 78 0.85954 1 1 0.14046 0 1
 79 0.93752 1 1 0.06248 0 1
 80 0.82159 1 2 0.17841 0 2
 81 0.96515 2 2 0.03485 0 2
 82 0.96146 1 1 0.03854 0 1
 83 0.82664 0 1 0.17336 0 1
 84 0.94109 1 1 0.05891 0 1
 85 0.88325 1 1 0.11675 0 1
 86 0.71429 1 1 0.28571 0 1
 87 0.91211 1 1 0.08789 0 1
 88 0.60416 0 1 0.39584 0 1
 89 0.57154 0 1 0.42846 0 1
 90 0.57757 0 0 0.42243 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
