# GRMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.63587 1 2 0.36413 1 2
 52 0.49157 0 1 0.50843 0 1
 53 0.62707 1 1 0.37293 0 1
 54 0.20317 0 1 0.79683 1 1
 55 0.57989 1 2 0.42011 1 2
 56 0.23798 0 1 0.76202 1 1
 57 0.43177 1 1 0.56823 1 1
 58 0.41325 1 1 0.58675 1 1
 59 0.26444 0 1 0.73556 1 1
 60 0.41209 1 1 0.58791 1 1
 61 0.30028 1 2 0.69972 1 2
 62 0.44591 1 2 0.55409 1 2
 63 0.29997 1 3 0.70003 2 3
 64 0.30394 1 2 0.69606 1 2
 65 0.31471 1 2 0.68529 1 2
 66 0.20473 0 2 0.79527 2 2
 67 0.18862 0 2 0.81138 2 2
 68 0.25475 0 2 0.74525 1 2
 69 0.22721 0 2 0.77279 2 2
 70 0.11843 0 2 0.88157 2 2
 71 0.15312 0 2 0.84688 2 2
 72 0.13097 0 2 0.86903 2 2
 73 0.04962 0 2 0.95038 2 2
 74 0.14634 0 1 0.85366 1 1
 75 0.10756 0 2 0.89244 1 2
 76 0.16085 0 1 0.83915 1 1
 77 0.05643 0 2 0.94357 2 2
 78 0.10164 0 1 0.89836 1 1
 79 0.06176 0 1 0.93824 1 1
 80 0.00000 0 2 1.00000 2 2
 81 0.03342 0 2 0.96658 2 2
 82 0.04474 0 1 0.95526 1 1
 83 0.08515 0 1 0.91485 1 1
 84 0.00000 0 1 1.00000 1 1
 85 0.05194 0 1 0.94806 1 1
 86 0.16491 0 1 0.83509 1 1
 87 0.09063 0 1 0.90937 1 1
 88 0.00000 0 1 1.00000 1 1
 89 0.00000 0 1 1.00000 1 1
 90 0.00000 0 0 1.00000 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
