# HRMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 1 1 0.00000 0 1
 52 0.94280 3 3 0.05720 0 3
 53 0.95946 4 4 0.04054 0 4
 54 0.92070 5 5 0.07930 0 5
 55 0.89251 2 3 0.10749 0 3
 56 0.92094 3 4 0.07906 0 4
 57 0.98575 4 4 0.01425 0 4
 58 0.89663 3 4 0.10337 0 4
 59 0.97472 3 3 0.02528 0 3
 60 1.00000 4 4 0.00000 0 4
 61 0.90943 3 3 0.09057 0 3
 62 0.84526 2 2 0.15474 0 2
 63 0.91595 3 3 0.08405 0 3
 64 0.93366 2 2 0.06634 0 2
 65 0.91564 4 4 0.08436 0 4
 66 0.87131 2 3 0.12869 0 3
 67 0.94532 2 2 0.05468 0 2
 68 0.94654 2 3 0.05346 0 3
 69 0.96466 2 2 0.03534 0 2
 70 0.95181 1 1 0.04819 0 1
 71 0.91759 2 2 0.08241 0 2
 72 0.78421 2 2 0.21579 0 2
 73 0.86340 2 2 0.13660 0 2
 74 0.77456 2 3 0.22544 1 3
 75 0.91485 2 2 0.08515 0 2
 76 1.00000 1 1 0.00000 0 1
 77 0.87515 1 1 0.12485 0 1
 78 0.80496 1 1 0.19504 0 1
 79 0.82377 1 1 0.17623 0 1
 80 1.00000 1 1 0.00000 0 1
 81 0.88844 1 1 0.11156 0 1
 82 0.80194 1 2 0.19806 0 2
 83 1.00000 1 1 0.00000 0 1
 84 1.00000 1 1 0.00000 0 1
 85 0.57382 0 1 0.42618 0 1
 86 1.00000 0 0 0.00000 0 0
 87 0.65445 0 0 0.34555 0 0
 88 0.65919 0 0 0.34081 0 0
 89 0.56111 0 0 0.43889 0 0
 90 0.40934 0 0 0.59066 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
