# HRMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.91085 1 1 0.08915 0 1
 52 0.92634 3 3 0.07366 0 3
 53 0.87433 3 4 0.12567 0 4
 54 0.79939 4 5 0.20061 1 5
 55 0.89709 2 3 0.10291 0 3
 56 0.82954 3 4 0.17046 1 4
 57 0.78966 3 4 0.21034 1 4
 58 0.85435 3 4 0.14565 1 4
 59 0.89201 3 3 0.10799 0 3
 60 0.84136 3 4 0.15864 1 4
 61 0.77949 2 3 0.22051 1 3
 62 0.79134 2 2 0.20866 0 2
 63 0.81441 3 3 0.18559 1 3
 64 0.86086 2 2 0.13914 0 2
 65 0.79864 3 4 0.20136 1 4
 66 0.77584 2 3 0.22416 1 3
 67 0.89157 2 2 0.10843 0 2
 68 0.65976 2 3 0.34024 1 3
 69 0.67336 1 2 0.32664 1 2
 70 0.81528 1 2 0.18472 0 2
 71 0.71182 1 2 0.28818 1 2
 72 0.87076 2 2 0.12924 0 2
 73 0.73377 2 2 0.26623 1 2
 74 0.70966 2 3 0.29034 1 3
 75 0.77985 1 2 0.22015 0 2
 76 0.84449 1 2 0.15551 0 2
 77 0.78164 1 1 0.21836 0 1
 78 0.79581 1 1 0.20419 0 1
 79 0.62440 1 1 0.37560 0 1
 80 0.86531 1 1 0.13469 0 1
 81 0.64630 1 1 0.35370 0 1
 82 0.77542 1 2 0.22458 0 2
 83 0.76086 0 1 0.23914 0 1
 84 0.35207 0 1 0.64793 0 1
 85 0.72055 1 1 0.27945 0 1
 86 1.00000 0 0 0.00000 0 0
 87 0.65445 0 0 0.34555 0 0
 88 0.65919 0 0 0.34081 0 0
 89 1.00000 0 0 0.00000 0 0
 90 0.40934 0 0 0.59066 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
