# ITFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.84786 1 2 0.15214 0 2
 52 0.90372 3 3 0.09628 0 3
 53 0.89223 3 4 0.10777 0 4
 54 0.97598 2 2 0.02402 0 2
 55 0.98570 2 2 0.01430 0 2
 56 0.97605 2 2 0.02395 0 2
 57 0.97163 3 3 0.02837 0 3
 58 0.92000 2 2 0.08000 0 2
 59 0.97325 2 2 0.02675 0 2
 60 0.94685 2 2 0.05315 0 2
 61 0.98382 2 2 0.01618 0 2
 62 0.94393 2 2 0.05607 0 2
 63 0.95349 2 2 0.04651 0 2
 64 0.97334 2 2 0.02666 0 2
 65 0.85962 2 2 0.14038 0 2
 66 0.94259 3 3 0.05741 0 3
 67 0.88914 3 3 0.11086 0 3
 68 0.92651 3 3 0.07349 0 3
 69 0.87381 2 2 0.12619 0 2
 70 0.87002 2 2 0.12998 0 2
 71 0.88302 2 2 0.11698 0 2
 72 0.93019 2 2 0.06981 0 2
 73 0.91641 2 2 0.08359 0 2
 74 0.88224 2 2 0.11776 0 2
 75 0.92127 2 2 0.07873 0 2
 76 0.82848 2 2 0.17152 0 2
 77 0.81164 2 2 0.18836 0 2
 78 0.68926 1 2 0.31074 1 2
 79 0.75857 1 1 0.24143 0 1
 80 0.69538 1 2 0.30462 1 2
 81 0.74610 1 2 0.25390 0 2
 82 0.57702 1 2 0.42298 1 2
 83 0.57485 1 1 0.42515 1 1
 84 0.79322 1 1 0.20678 0 1
 85 0.70303 1 2 0.29697 0 2
 86 0.66159 1 1 0.33841 0 1
 87 0.31904 0 1 0.68096 1 1
 88 0.35235 0 1 0.64765 1 1
 89 0.28433 0 1 0.71567 1 1
 90 0.31081 0 0 0.68919 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
