# ITFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.47931 1 2 0.52069 1 2
 52 0.44628 1 3 0.55372 2 3
 53 0.61762 2 4 0.38238 1 4
 54 0.42303 1 3 0.57697 1 3
 55 0.46323 1 2 0.53677 1 2
 56 0.53496 1 3 0.46504 1 3
 57 0.37860 1 3 0.62140 2 3
 58 0.44494 1 2 0.55506 1 2
 59 0.40696 1 2 0.59304 1 2
 60 0.31459 1 2 0.68541 1 2
 61 0.38458 1 2 0.61542 1 2
 62 0.27417 1 2 0.72583 2 2
 63 0.32354 1 2 0.67646 1 2
 64 0.24433 1 2 0.75567 2 2
 65 0.20198 0 2 0.79802 2 2
 66 0.27677 1 3 0.72323 2 3
 67 0.27570 1 3 0.72430 2 3
 68 0.14395 0 3 0.85605 2 3
 69 0.28758 1 2 0.71242 1 2
 70 0.15343 0 3 0.84657 2 3
 71 0.29797 1 2 0.70203 1 2
 72 0.18978 0 2 0.81022 2 2
 73 0.19640 0 2 0.80360 2 2
 74 0.16090 0 2 0.83910 2 2
 75 0.18725 0 2 0.81275 1 2
 76 0.10699 0 2 0.89301 2 2
 77 0.11260 0 2 0.88740 2 2
 78 0.08325 0 2 0.91675 2 2
 79 0.04799 0 1 0.95201 1 1
 80 0.15827 0 2 0.84173 2 2
 81 0.01949 0 2 0.98051 2 2
 82 0.07819 0 2 0.92181 2 2
 83 0.09797 0 1 0.90203 1 1
 84 0.03203 0 1 0.96797 1 1
 85 0.13705 0 2 0.86295 1 2
 86 0.00000 0 1 1.00000 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.00000 0 1 1.00000 1 1
 89 0.00000 0 1 1.00000 1 1
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
