# ITFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.79524 1 2 0.20476 0 2
 52 0.94257 3 3 0.05743 0 3
 53 0.92572 4 4 0.07428 0 4
 54 0.92477 2 3 0.07523 0 3
 55 0.94867 2 2 0.05133 0 2
 56 0.95789 2 3 0.04211 0 3
 57 0.89017 3 3 0.10983 0 3
 58 0.92068 2 2 0.07932 0 2
 59 0.94510 2 2 0.05490 0 2
 60 0.81769 2 2 0.18231 0 2
 61 0.90580 2 2 0.09420 0 2
 62 0.88094 2 2 0.11906 0 2
 63 0.93947 2 2 0.06053 0 2
 64 0.91170 2 2 0.08830 0 2
 65 0.88645 2 2 0.11355 0 2
 66 0.92715 3 3 0.07285 0 3
 67 0.91516 3 3 0.08484 0 3
 68 0.85075 2 3 0.14925 0 3
 69 0.80488 2 2 0.19512 0 2
 70 0.87504 2 3 0.12496 0 3
 71 0.87363 2 2 0.12637 0 2
 72 0.89929 2 2 0.10071 0 2
 73 0.90545 2 2 0.09455 0 2
 74 0.82167 2 2 0.17833 0 2
 75 0.85247 1 2 0.14753 0 2
 76 0.86397 2 2 0.13603 0 2
 77 0.82677 2 2 0.17323 0 2
 78 0.71807 1 2 0.28193 1 2
 79 0.76397 1 1 0.23603 0 1
 80 0.65991 1 2 0.34009 1 2
 81 0.71414 1 2 0.28586 1 2
 82 0.57281 1 2 0.42719 1 2
 83 0.49394 1 1 0.50606 1 1
 84 0.75402 1 1 0.24598 0 1
 85 0.47322 1 2 0.52678 1 2
 86 0.58764 1 1 0.41236 1 1
 87 0.46776 0 1 0.53224 1 1
 88 0.54351 1 1 0.45649 0 1
 89 0.35184 0 1 0.64816 0 1
 90 0.31081 0 0 0.68919 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
