# ITMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.94477 2 2 0.05523 0 2
 52 0.90862 3 3 0.09138 0 3
 53 0.98038 6 6 0.01962 0 6
 54 0.78959 2 3 0.21041 1 3
 55 0.99374 2 2 0.00626 0 2
 56 0.92861 2 3 0.07139 0 3
 57 0.86948 2 2 0.13052 0 2
 58 0.87592 1 1 0.12408 0 1
 59 0.82418 2 2 0.17582 0 2
 60 0.93309 2 2 0.06691 0 2
 61 0.94218 2 2 0.05782 0 2
 62 0.90212 2 2 0.09788 0 2
 63 0.95783 3 3 0.04217 0 3
 64 0.85085 2 2 0.14915 0 2
 65 0.92210 3 3 0.07790 0 3
 66 0.95228 2 3 0.04772 0 3
 67 0.95248 3 3 0.04752 0 3
 68 0.79293 2 3 0.20707 1 3
 69 0.88562 2 2 0.11438 0 2
 70 0.86529 2 2 0.13471 0 2
 71 0.83311 2 2 0.16689 0 2
 72 0.82883 2 2 0.17117 0 2
 73 0.93628 2 2 0.06372 0 2
 74 0.85386 2 3 0.14614 0 3
 75 0.74386 2 3 0.25614 1 3
 76 0.77153 1 1 0.22847 0 1
 77 0.80402 2 2 0.19598 0 2
 78 0.85955 1 2 0.14045 0 2
 79 0.75734 1 1 0.24266 0 1
 80 0.68690 1 1 0.31310 0 1
 81 0.80911 2 2 0.19089 0 2
 82 0.87252 1 1 0.12748 0 1
 83 0.68368 1 1 0.31632 0 1
 84 0.62543 1 1 0.37457 0 1
 85 0.83326 1 1 0.16674 0 1
 86 0.66709 0 1 0.33291 0 1
 87 0.87439 1 1 0.12561 0 1
 88 0.47721 0 0 0.52279 0 0
 89 0.70792 0 0 0.29208 0 0
 90 0.56847 0 0 0.43153 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
