# ITMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.94477 2 2 0.05523 0 2
 52 0.65087 2 3 0.34913 1 3
 53 0.80425 5 6 0.19575 1 6
 54 0.74633 2 3 0.25367 1 3
 55 0.89209 2 2 0.10791 0 2
 56 0.77940 2 3 0.22060 1 3
 57 0.78089 2 2 0.21911 1 2
 58 0.76694 1 1 0.23306 0 1
 59 0.75181 2 2 0.24819 1 2
 60 0.70559 2 2 0.29441 1 2
 61 0.66648 2 2 0.33352 1 2
 62 0.61606 1 2 0.38394 1 2
 63 0.71643 2 3 0.28357 1 3
 64 0.69784 2 2 0.30216 1 2
 65 0.67640 2 3 0.32360 1 3
 66 0.74152 2 3 0.25848 1 3
 67 0.66658 2 3 0.33342 1 3
 68 0.56063 2 3 0.43937 1 3
 69 0.51139 1 2 0.48861 1 2
 70 0.59943 1 2 0.40057 1 2
 71 0.50929 1 2 0.49071 1 2
 72 0.60635 1 2 0.39365 1 2
 73 0.74606 1 2 0.25394 0 2
 74 0.56267 2 3 0.43733 1 3
 75 0.52063 1 3 0.47937 1 3
 76 0.54608 1 1 0.45392 1 1
 77 0.32923 1 2 0.67077 1 2
 78 0.60125 1 2 0.39875 1 2
 79 0.46746 1 1 0.53254 1 1
 80 0.31731 0 1 0.68269 1 1
 81 0.42874 1 2 0.57126 1 2
 82 0.50798 1 1 0.49202 1 1
 83 0.35332 0 1 0.64668 1 1
 84 0.32970 0 1 0.67030 1 1
 85 0.57230 1 1 0.42770 0 1
 86 0.32206 0 1 0.67794 0 1
 87 0.28744 0 1 0.71256 1 1
 88 0.14839 0 0 0.85161 0 0
 89 0.11136 0 0 0.88864 0 0
 90 0.54053 0 0 0.45947 0 0
 91 0.71849 0 0 0.28151 0 0
 92 NaNq 0 0 NaNq 0 0
