# PLFgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.90338 2 2 0.09662 0 2
 52 0.96066 3 3 0.03934 0 3
 53 1.00000 2 2 0.00000 0 2
 54 0.94066 2 3 0.05934 0 3
 55 0.88505 2 3 0.11495 0 3
 56 0.89456 3 3 0.10544 0 3
 57 0.80280 4 5 0.19720 1 5
 58 0.78681 1 2 0.21319 0 2
 59 0.95209 4 4 0.04791 0 4
 60 0.86460 3 4 0.13540 0 4
 61 0.97471 2 2 0.02529 0 2
 62 0.92593 3 3 0.07407 0 3
 63 0.82326 2 3 0.17674 1 3
 64 0.96994 3 3 0.03006 0 3
 65 0.89948 2 3 0.10052 0 3
 66 0.79614 2 3 0.20386 1 3
 67 0.83516 3 3 0.16484 1 3
 68 0.90311 2 3 0.09689 0 3
 69 0.66016 1 2 0.33984 1 2
 70 0.95746 2 2 0.04254 0 2
 71 0.83923 1 2 0.16077 0 2
 72 0.62771 1 1 0.37229 0 1
 73 0.74013 1 2 0.25987 0 2
 74 0.73945 2 3 0.26055 1 3
 75 0.64235 1 2 0.35765 1 2
 76 0.83448 2 2 0.16552 0 2
 77 0.40923 1 2 0.59077 1 2
 78 0.57302 1 1 0.42698 1 1
 79 0.51806 1 1 0.48194 1 1
 80 0.81148 1 1 0.18852 0 1
 81 0.67246 1 1 0.32754 0 1
 82 0.64603 1 1 0.35397 0 1
 83 0.67278 1 1 0.32722 0 1
 84 0.48843 1 1 0.51157 1 1
 85 0.72460 1 1 0.27540 0 1
 86 0.62717 1 1 0.37283 0 1
 87 0.46780 0 1 0.53220 1 1
 88 0.49187 0 0 0.50813 0 0
 89 0.34210 0 1 0.65790 0 1
 90 0.00000 0 0 1.00000 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
