# SEFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 1 1 0.00000 0 1
 52 0.85745 1 1 0.14255 0 1
 53 1.00000 2 2 0.00000 0 2
 54 1.00000 3 3 0.00000 0 3
 55 1.00000 2 2 0.00000 0 2
 56 0.84886 2 3 0.15114 0 3
 57 0.95497 3 3 0.04503 0 3
 58 0.93282 3 3 0.06718 0 3
 59 0.91204 4 4 0.08796 0 4
 60 0.93490 2 2 0.06510 0 2
 61 0.93027 2 2 0.06973 0 2
 62 0.95461 2 2 0.04539 0 2
 63 0.90625 2 2 0.09375 0 2
 64 0.85960 2 3 0.14040 0 3
 65 0.92369 2 3 0.07631 0 3
 66 0.92716 2 3 0.07284 0 3
 67 0.94418 2 2 0.05582 0 2
 68 0.93187 3 3 0.06813 0 3
 69 0.87794 3 3 0.12206 0 3
 70 0.94345 3 3 0.05655 0 3
 71 0.93792 2 2 0.06208 0 2
 72 0.92652 2 2 0.07348 0 2
 73 0.93052 2 2 0.06948 0 2
 74 0.94320 2 2 0.05680 0 2
 75 0.91268 2 2 0.08732 0 2
 76 0.94334 2 2 0.05666 0 2
 77 0.88173 1 2 0.11827 0 2
 78 0.80887 1 1 0.19113 0 1
 79 0.86492 1 1 0.13508 0 1
 80 0.92140 1 1 0.07860 0 1
 81 0.72075 1 2 0.27925 0 2
 82 0.89985 1 1 0.10015 0 1
 83 0.92765 1 1 0.07235 0 1
 84 0.89291 1 1 0.10709 0 1
 85 0.73688 1 1 0.26312 0 1
 86 0.55745 1 1 0.44255 0 1
 87 0.72018 0 1 0.27982 0 1
 88 0.91125 1 1 0.08875 0 1
 89 0.77485 1 1 0.22515 0 1
 90 0.90614 1 1 0.09386 0 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
