# SEFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:36 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.82540 1 1 0.17460 0 1
 52 0.78613 1 1 0.21387 0 1
 53 0.95597 2 2 0.04403 0 2
 54 0.74856 2 3 0.25144 1 3
 55 0.92561 2 2 0.07439 0 2
 56 0.65662 2 3 0.34338 1 3
 57 0.66129 2 3 0.33871 1 3
 58 0.71921 2 3 0.28079 1 3
 59 0.73117 3 4 0.26883 1 4
 60 0.80025 2 2 0.19975 0 2
 61 0.75680 2 2 0.24320 1 2
 62 0.67616 1 2 0.32384 1 2
 63 0.77417 2 2 0.22583 0 2
 64 0.67318 2 3 0.32682 1 3
 65 0.80426 2 3 0.19574 1 3
 66 0.79954 2 3 0.20046 1 3
 67 0.74820 2 2 0.25180 1 2
 68 0.79721 2 3 0.20279 1 3
 69 0.64676 2 3 0.35324 1 3
 70 0.70965 2 3 0.29035 1 3
 71 0.69860 2 2 0.30140 1 2
 72 0.72646 2 2 0.27354 1 2
 73 0.65311 1 2 0.34689 1 2
 74 0.76857 1 2 0.23143 0 2
 75 0.76909 1 2 0.23091 0 2
 76 0.70685 1 2 0.29315 1 2
 77 0.63654 1 2 0.36346 1 2
 78 0.70131 1 1 0.29869 0 1
 79 0.50717 1 1 0.49283 1 1
 80 0.60722 1 1 0.39278 0 1
 81 0.41452 1 1 0.58548 1 1
 82 0.50686 1 1 0.49314 1 1
 83 0.51255 1 1 0.48745 1 1
 84 0.60111 1 1 0.39889 0 1
 85 0.48040 0 1 0.51960 1 1
 86 0.33955 0 1 0.66045 1 1
 87 0.46280 0 1 0.53720 0 1
 88 0.48561 0 1 0.51439 0 1
 89 0.31091 0 1 0.68909 1 1
 90 0.58847 0 1 0.41153 0 1
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
