# SEMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 52 1.00000 3 3 0.00000 0 3
 53 0.90295 3 3 0.09705 0 3
 54 0.92213 3 4 0.07787 0 4
 55 0.95335 3 3 0.04665 0 3
 56 0.96501 3 3 0.03499 0 3
 57 1.00000 4 4 0.00000 0 4
 58 0.95187 3 3 0.04813 0 3
 59 0.95885 3 3 0.04115 0 3
 60 0.93404 2 2 0.06596 0 2
 61 0.96569 2 2 0.03431 0 2
 62 0.95744 3 3 0.04256 0 3
 63 0.97687 3 4 0.02313 0 4
 64 0.92018 2 2 0.07982 0 2
 65 0.95444 3 3 0.04556 0 3
 66 0.96506 2 3 0.03494 0 3
 67 0.92308 2 3 0.07692 0 3
 68 0.91589 3 3 0.08411 0 3
 69 0.91215 4 4 0.08785 0 4
 70 0.95006 2 3 0.04994 0 3
 71 0.96176 2 2 0.03824 0 2
 72 0.85593 2 2 0.14407 0 2
 73 0.85550 2 2 0.14450 0 2
 74 0.87347 1 2 0.12653 0 2
 75 0.85785 2 2 0.14215 0 2
 76 0.91942 2 2 0.08058 0 2
 77 0.92404 2 2 0.07596 0 2
 78 0.86245 1 1 0.13755 0 1
 79 0.80618 1 1 0.19382 0 1
 80 0.90402 1 1 0.09598 0 1
 81 0.84203 1 2 0.15797 0 2
 82 0.85465 1 1 0.14535 0 1
 83 0.76828 1 1 0.23172 0 1
 84 0.72888 1 1 0.27112 0 1
 85 0.88467 1 1 0.11533 0 1
 86 0.88874 1 1 0.11126 0 1
 87 0.72292 0 0 0.27708 0 0
 88 0.76075 0 0 0.23925 0 0
 89 0.73048 0 1 0.26952 0 1
 90 0.62902 0 0 0.37098 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
