# SEMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 52 0.60233 2 3 0.39767 1 3
 53 0.49606 1 3 0.50394 1 3
 54 0.69539 3 4 0.30461 1 4
 55 0.36257 1 3 0.63743 2 3
 56 0.59349 2 3 0.40651 1 3
 57 0.31650 1 4 0.68350 3 4
 58 0.67131 2 3 0.32869 1 3
 59 0.22894 1 3 0.77106 2 3
 60 0.41542 1 2 0.58458 1 2
 61 0.25666 1 2 0.74334 2 2
 62 0.39483 1 3 0.60517 2 3
 63 0.44705 2 4 0.55295 2 4
 64 0.27337 1 2 0.72663 2 2
 65 0.31350 1 3 0.68650 2 3
 66 0.39761 1 3 0.60239 2 3
 67 0.28852 1 3 0.71148 2 3
 68 0.38190 1 3 0.61810 2 3
 69 0.25971 1 4 0.74029 3 4
 70 0.23426 1 3 0.76574 2 3
 71 0.28342 1 2 0.71658 2 2
 72 0.21321 0 2 0.78679 1 2
 73 0.19779 0 2 0.80221 2 2
 74 0.26473 0 2 0.73527 1 2
 75 0.23046 0 2 0.76954 1 2
 76 0.15699 0 2 0.84301 2 2
 77 0.26763 1 2 0.73237 2 2
 78 0.11145 0 1 0.88855 1 1
 79 0.24804 0 1 0.75196 1 1
 80 0.14827 0 1 0.85173 1 1
 81 0.12552 0 2 0.87448 1 2
 82 0.23000 0 1 0.77000 1 1
 83 0.15309 0 1 0.84691 1 1
 84 0.08574 0 1 0.91426 1 1
 85 0.05209 0 1 0.94791 1 1
 86 0.25992 0 1 0.74008 1 1
 87 0.00000 0 0 1.00000 0 0
 88 0.19403 0 0 0.80597 0 0
 89 0.39143 0 1 0.60857 0 1
 90 0.10513 0 0 0.89487 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
