"country","diff_UHE_ADL.x","diff_HE_ADL.x","diff_UHE_CHR.x","diff_HE_CHR.x","diff_UHE_GALI.x","diff_HE_GALI.x","diff_UHE_SR.x","diff_HE_SR.x"
"AUT",1.64771953486263,-2.3764886948283,4.2661592841879,0.241951054496981,2.98072224457321,-1.0434859851177,2.5106727769099,-1.5135354527811
"BEL",2.74338959465349,-1.2862855259371,4.0513122620708,0.0216371414801904,2.13326027265685,-1.8964148479338,2.25374488677324,-1.7759302338175
"BGR",1.54945761579413,-4.228670962558,6.0853662521061,0.30723767375408,1.61199027065128,-4.1661383077008,4.63222834232482,-1.1459002360273
"CHE",0.75375926602859,-2.627974538827,-1.0528124044225,-4.4345462092781,-0.930236965392639,-4.3119707702482,0.789013710280099,-2.5927200945755
"CZE",1.28792752245331,-3.6615311437335,3.8009964108259,-1.14846225536099,0.9213439433861,-4.0281147228008,2.41272301926111,-2.5367356469257
"DEUTNP",1.59414033553095,-2.5991770147371,3.3596601798825,-0.83365717038555,2.09194334446323,-2.1013740058048,3.2148841705443,-0.978433179723801
"DNK",0.32967766496497,-3.0706189350085,3.2059181951657,-0.194378404807781,1.38305097130221,-2.0172456286713,2.28489437484783,-1.1154022251256
"ESP",0.59599956889428,-4.424376584194,3.2591250669842,-1.761251086104,2.26369223717945,-2.7566839159088,5.7420380650255,0.7216619119373
"EST",2.04933009614062,-5.2462071933584,6.9495322732443,-0.3460050162546,2.46086862645421,-4.8346686630447,5.7234957852605,-1.5720415042384
"FIN",1.07869560690618,-3.5619985400148,3.9230144974779,-0.717679649443101,0.4619225209021,-4.1787716260189,1.487047865468,-3.153646281453
"FRATNP",1.41614153042514,-3.7065284613879,5.4959978235283,0.37332783171526,1.11752018973226,-4.0051498020808,2.6437602601143,-2.4789097316989
"GRC",1.43059086549584,-2.8221464265173,5.2334235054801,0.980686213466919,1.261695188206,-2.9910421038072,4.21007124696922,-0.0426660450440011
"HUN",1.22086775938508,-4.7229765590495,8.7233831010572,2.77953878262258,2.85529869642607,-3.0885456220085,7.4285956047722,1.4847512863376
"ITA",2.70124640320139,-1.1763798881938,4.2843149499369,0.406688658541761,2.05344766580098,-1.8241786255941,5.294811702919,1.4171854115239
"LTU",2.57218652232498,-5.137543137216,8.5996645297338,0.88993487019279,1.39104996777138,-6.3186796917695,7.1710459485671,-0.538683710973901
"LUX",0.2526508003151,-3.8728860700535,3.7191148929994,-0.406421977369321,0.85030378385572,-3.2752330865129,3.4214774125418,-0.704059457826901
"LVA",2.33069782043909,-5.1831077038188,8.4804331389717,0.96662761471392,1.54642800190063,-5.9673775223572,7.6929148017583,0.179109277500359
"POL",1.83972451618872,-4.3819231979843,6.9681463742011,0.746498660028,2.27563478944216,-3.9460129247309,4.571478038071,-1.6501696761021
"SVK",1.85334229309551,-3.772507168805,7.8221766748162,2.1963272129156,2.58068728663745,-3.0451621752631,4.95163514654484,-0.674214315355698
"SVN",0.50010509302941,-4.5089076384073,4.7850111189491,-0.22400161248768,1.45913670677825,-3.5498760246585,2.7013709749652,-2.3076417564716
"SWE",0.62461430840149,-2.2186015375009,3.0166821451955,0.173466299293009,1.8238438425064,-1.019372003396,2.62695387868485,-0.216261967217601
"PRT",3.79256795352158,-1.4029314415597,8.0838299990803,2.88833060399903,2.66923896562184,-2.5262604294595,7.8753581040355,2.6798587089543
