"Age","lx","Lx","ex","limit","gali","sr","chr","exhadlnm","exhgalinm","exhsrnm","exhchrnm","Txhadlm","Txhgalim","Txhsrm","Txhchrm","exhadlm","exhgalim","exhsrm","exhchrm","unhadlnm","unhgalinm","unhsrnm","unhchrnm","ratioadlnm","ratiogalinm","ratiosrnm","ratiochrnm","unhadlm","unhgalim","unhsrm","unhchrm","ratioadlm","ratiogalim","ratiosrm","ratiochrm","sex","country"
50,98132,488585,35.86,0.0407336398639743,0.0760806151518705,0.261316354929393,0.143851485190252,30.4994999148029,29.3391104052057,18.5739515655034,22.4952428079133,2713580.02751959,2605543.38670635,1678316.4215008,2012475.58756008,27.6523461003504,26.5514142859246,17.1026415593364,20.5078423710928,5.36050008519707,6.52088959479434,17.2860484344966,13.3647571920867,0.149484107228028,0.181842989258069,0.482042622267056,0.372692615507159,8.20765389964955,9.30858571407539,18.7573584406636,15.3521576289072,0.228880476844661,0.259581308256425,0.523071902974446,0.428113709673931,"female","ITA"
55,97235,482929,31.17,0.0580931802144727,0.108721300722257,0.324202059681159,0.1919120824633,25.9607525178421,24.9672692923085,15.0335708983304,18.4008005874204,2246296.62275481,2155478.4059863,1318484.55096204,1595423.54694867,23.1017290353763,22.1677215610254,13.559773239698,16.4079142998784,5.20924748215786,6.20273070769148,16.1364291016696,12.7691994125796,0.167123756245039,0.198996814491225,0.517691020265307,0.40966311878664,8.06827096462372,9.00227843897461,17.610226760302,14.7620857001216,0.258847320007178,0.288812269456998,0.564973588716777,0.473599156243876,"female","ITA"
60,95846,474238,26.58,0.0737046008459451,0.0981412594519895,0.371907700971277,0.268298973049512,21.591090421094,20.8383041407478,11.8463664918611,14.5958386911269,1798009.62441877,1731287.13314782,996848.244924678,1210825.72969682,18.7593600611269,18.0632173815059,10.4005200522158,12.6330335089291,4.988909578906,5.74169585925215,14.7336335081389,11.9841613088731,0.187694115082995,0.216015645570058,0.554312773067679,0.450871381071224,7.82063993887313,8.51678261849409,16.1794799477842,13.9469664910709,0.294230246007266,0.320420715518965,0.60870880164726,0.524716572275054,"female","ITA"
65,93705,460930,22.13,0.0858184999435182,0.123327045674497,0.448005772615831,0.375928354150005,17.3964588335324,16.7501458115801,8.93828085024422,11.2262133671714,1372711.94952945,1317209.26362157,708467.028050716,874873.779854075,14.6492924553594,14.0569794954546,7.56061072568931,9.33646848998533,4.73354116646758,5.37985418841993,13.1917191497558,10.9037866328286,0.213897025145395,0.243102313078171,0.596101181642828,0.49271516641792,7.48070754464058,8.0730205045454,14.5693892743107,12.7935315100147,0.338034683445123,0.364799842049047,0.658354689304595,0.57810806642633,"female","ITA"
70,90414,439820,17.84,0.112994485303483,0.169661243549299,0.526727001732956,0.472802744232957,13.3691850396523,12.8905650500681,6.44956431353496,8.4533255895012,975288.523760919,936091.981369484,468497.791265769,603570.224265399,10.7869193240087,10.3533963918141,5.18169521607018,6.67562793666245,4.47081496034772,4.94943494993191,11.390435686465,9.3866744104988,0.250606219750433,0.27743469450291,0.63847733668526,0.526158879512265,7.05308067599134,7.48660360818586,12.6583047839298,11.1643720633375,0.395352055829111,0.419652668620283,0.709546232283062,0.625805608931477,"female","ITA"
75,85096,405287,13.78,0.18651536675903,0.228472720533216,0.64552724707442,0.54586727334907,9.62017874754746,9.40453084251562,4.40650533216765,6.25678155045714,622685.95169502,606015.587976722,280362.234368588,393998.688023999,7.3174526616412,7.12155198806902,3.29465820213157,4.63004945031493,4.15982125245254,4.37546915748438,9.37349466783235,7.52321844954286,0.301873820932695,0.317523160920492,0.680224576765773,0.545951991984242,6.4625473383588,6.65844801193098,10.4853417978684,9.14995054968507,0.468980213233585,0.483196517556675,0.760910144983195,0.664002216958278,"female","ITA"
80,76276,346141,10.06,0.270985645031975,0.280255764475639,0.70092645370487,0.567772986397119,6.41019434879865,6.39254785334122,3.03257615935798,4.5672687664734,341635.935308333,339461.377022519,157895.787004416,237100.81306541,4.47894403624118,4.45043496017776,2.07005856369521,3.1084589263387,3.64980565120135,3.66745214665878,7.02742384064202,5.4927312335266,0.362803742664151,0.364557867461112,0.698551077598611,0.545997140509602,5.58105596375882,5.60956503982224,7.98994143630479,6.9515410736613,0.554776934767278,0.557610838948533,0.794228771004452,0.691008059012058,"female","ITA"
85,60870,248710,6.93,0.380387776648034,0.408235203476298,0.720154227390202,0.55467453746588,3.88700881067814,3.91761114888807,2.0994112492697,3.26534420430442,147909.359195316,148198.22085143,78420.6796421278,122241.81354336,2.42992211590794,2.43466766636159,1.28833053461685,2.00824402075505,3.04299118932186,3.01238885111193,4.8305887507303,3.66465579569558,0.439104067723212,0.434688145903597,0.697054653785036,0.528810360129232,4.50007788409206,4.49533233363841,5.64166946538315,4.92175597924495,0.649361888036373,0.648677104421127,0.814093717948506,0.710210098015144,"female","ITA"
90,37647,128311,4.59,0.522710877556518,0.471864481571052,0.663341660665649,0.490855515081752,2.19136903966082,2.42481919115486,1.54569343207331,2.33762599753365,45792.3767355934,50670.7140182315,32299.8886441276,48848.6641951219,1.21636190760468,1.34594294414512,0.857967132683284,1.29754467009647,2.39863096033918,2.16518080884514,3.04430656792669,2.25237400246635,0.522577551272152,0.471716951818114,0.663247618284682,0.49071329029768,3.37363809239532,3.24405705585488,3.73203286731672,3.29245532990353,0.734997405750614,0.706766243105637,0.813079056060287,0.717310529390747,"female","ITA"
95,14771,38816,3.02,0.522710877556518,0.471864481571052,0.663341660665649,0.490855515081752,1.43910538529994,1.59241565122673,1.01508039123512,1.53515455451926,10955.7720608172,12122.9084951841,7727.71021731622,11686.9852265427,0.741708216154436,0.82072361351189,0.523167708165745,0.791211510834925,1.58089461470006,1.42758434877327,2.00491960876488,1.48484544548074,0.523475037980154,0.472710049262671,0.663880665153933,0.491670677311503,2.27829178384556,2.19927638648811,2.49683229183425,2.22878848916508,0.754401252928995,0.728237214068911,0.826765659547766,0.738009433498369,"female","ITA"
