"age","ex1","ex2","p1","p2","sex","region","health"
50,4.9963,7.241,0.96297,0.03705,"F","W","IADL"
51,4.9613,7.2553,0.95981,0.04021,"F","W","IADL"
52,4.9234,7.265,0.9564,0.04362,"F","W","IADL"
53,4.8827,7.2695,0.95273,0.0473,"F","W","IADL"
54,4.8387,7.2682,0.94878,0.05125,"F","W","IADL"
55,4.7915,7.2605,0.94452,0.05551,"F","W","IADL"
56,4.7409,7.2459,0.93995,0.06009,"F","W","IADL"
57,4.6867,7.2237,0.93504,0.065,"F","W","IADL"
58,4.6288,7.1934,0.92977,0.07027,"F","W","IADL"
59,4.5671,7.1545,0.92414,0.0759,"F","W","IADL"
60,4.5015,7.1066,0.91812,0.08193,"F","W","IADL"
61,4.4319,7.0492,0.91169,0.08836,"F","W","IADL"
62,4.3584,6.982,0.90484,0.09522,"F","W","IADL"
63,4.2808,6.9047,0.89755,0.10251,"F","W","IADL"
64,4.1993,6.8173,0.88981,0.11025,"F","W","IADL"
65,4.1139,6.7197,0.88161,0.11846,"F","W","IADL"
66,4.0246,6.6119,0.87293,0.12714,"F","W","IADL"
67,3.9316,6.4941,0.86377,0.13631,"F","W","IADL"
68,3.835,6.3666,0.85413,0.14596,"F","W","IADL"
69,3.7351,6.2298,0.844,0.1561,"F","W","IADL"
70,3.632,6.0842,0.83338,0.16672,"F","W","IADL"
71,3.5261,5.9304,0.82228,0.17783,"F","W","IADL"
72,3.4176,5.7691,0.81071,0.18941,"F","W","IADL"
73,3.3068,5.601,0.79868,0.20144,"F","W","IADL"
74,3.1941,5.4269,0.78621,0.21391,"F","W","IADL"
75,3.0799,5.2477,0.77333,0.2268,"F","W","IADL"
76,2.9645,5.0644,0.76007,0.24007,"F","W","IADL"
77,2.8483,4.8779,0.74645,0.2537,"F","W","IADL"
78,2.7318,4.6891,0.73251,0.26765,"F","W","IADL"
79,2.6152,4.4989,0.71831,0.28186,"F","W","IADL"
80,2.4991,4.3084,0.70387,0.2963,"F","W","IADL"
81,2.3838,4.1183,0.68926,0.31092,"F","W","IADL"
82,2.2696,3.9295,0.67453,0.32566,"F","W","IADL"
83,2.157,3.7429,0.65974,0.34046,"F","W","IADL"
84,2.0463,3.5591,0.64493,0.35528,"F","W","IADL"
85,1.9377,3.379,0.63018,0.37004,"F","W","IADL"
86,1.8316,3.2029,0.61554,0.38469,"F","W","IADL"
87,1.7283,3.0316,0.60108,0.39916,"F","W","IADL"
88,1.6279,2.8654,0.58685,0.4134,"F","W","IADL"
89,1.5307,2.7048,0.57292,0.42734,"F","W","IADL"
90,1.4368,2.5501,0.55934,0.44093,"F","W","IADL"
91,1.3463,2.4016,0.54617,0.4541,"F","W","IADL"
92,1.2594,2.2594,0.53346,0.46682,"F","W","IADL"
93,1.1762,2.1237,0.52127,0.47902,"F","W","IADL"
94,1.0966,1.9946,0.50964,0.49064,"F","W","IADL"
95,1.0207,1.872,0.49863,0.50167,"F","W","IADL"
96,0.9485,1.756,0.48826,0.51203,"F","W","IADL"
97,0.8799,1.6466,0.47858,0.5217,"F","W","IADL"
98,0.815,1.5436,0.46963,0.53064,"F","W","IADL"
99,0.7535,1.4469,0.46144,0.53883,"F","W","IADL"
100,0.6956,1.3563,0.45403,0.54624,"F","W","IADL"
101,0.6409,1.2718,0.44744,0.55283,"F","W","IADL"
102,0.5895,1.1931,0.44167,0.55859,"F","W","IADL"
103,0.5412,1.12,0.43675,0.5635,"F","W","IADL"
104,0.4959,1.0524,0.43269,0.56757,"F","W","IADL"
105,0.4535,0.9899,0.42948,0.57077,"F","W","IADL"
106,0.4138,0.9325,0.42712,0.57313,"F","W","IADL"
107,0.3766,0.8799,0.4256,0.57465,"F","W","IADL"
108,0.342,0.8319,0.42489,0.57536,"F","W","IADL"
109,0.3096,0.7882,0.42496,0.57529,"F","W","IADL"
110,0.2795,0.7487,0.42576,0.57449,"F","W","IADL"
50,4.9963,7.241,0.96297,0.03705,"F","W","IADL"
51,4.9613,7.2553,0.95981,0.04021,"F","W","IADL"
52,4.9234,7.265,0.9564,0.04362,"F","W","IADL"
53,4.8827,7.2695,0.95273,0.0473,"F","W","IADL"
54,4.8387,7.2682,0.94878,0.05125,"F","W","IADL"
55,4.7915,7.2605,0.94452,0.05551,"F","W","IADL"
56,4.7409,7.2459,0.93995,0.06009,"F","W","IADL"
57,4.6867,7.2237,0.93504,0.065,"F","W","IADL"
58,4.6288,7.1934,0.92977,0.07027,"F","W","IADL"
59,4.5671,7.1545,0.92414,0.0759,"F","W","IADL"
60,4.5015,7.1066,0.91812,0.08193,"F","W","IADL"
61,4.4319,7.0492,0.91169,0.08836,"F","W","IADL"
62,4.3584,6.982,0.90484,0.09522,"F","W","IADL"
63,4.2808,6.9047,0.89755,0.10251,"F","W","IADL"
64,4.1993,6.8173,0.88981,0.11025,"F","W","IADL"
65,4.1139,6.7197,0.88161,0.11846,"F","W","IADL"
66,4.0246,6.6119,0.87293,0.12714,"F","W","IADL"
67,3.9316,6.4941,0.86377,0.13631,"F","W","IADL"
68,3.835,6.3666,0.85413,0.14596,"F","W","IADL"
69,3.7351,6.2298,0.844,0.1561,"F","W","IADL"
70,3.632,6.0842,0.83338,0.16672,"F","W","IADL"
71,3.5261,5.9304,0.82228,0.17783,"F","W","IADL"
72,3.4176,5.7691,0.81071,0.18941,"F","W","IADL"
73,3.3068,5.601,0.79868,0.20144,"F","W","IADL"
74,3.1941,5.4269,0.78621,0.21391,"F","W","IADL"
75,3.0799,5.2477,0.77333,0.2268,"F","W","IADL"
76,2.9645,5.0644,0.76007,0.24007,"F","W","IADL"
77,2.8483,4.8779,0.74645,0.2537,"F","W","IADL"
78,2.7318,4.6891,0.73251,0.26765,"F","W","IADL"
79,2.6152,4.4989,0.71831,0.28186,"F","W","IADL"
80,2.4991,4.3084,0.70387,0.2963,"F","W","IADL"
81,2.3838,4.1183,0.68926,0.31092,"F","W","IADL"
82,2.2696,3.9295,0.67453,0.32566,"F","W","IADL"
83,2.157,3.7429,0.65974,0.34046,"F","W","IADL"
84,2.0463,3.5591,0.64493,0.35528,"F","W","IADL"
85,1.9377,3.379,0.63018,0.37004,"F","W","IADL"
86,1.8316,3.2029,0.61554,0.38469,"F","W","IADL"
87,1.7283,3.0316,0.60108,0.39916,"F","W","IADL"
88,1.6279,2.8654,0.58685,0.4134,"F","W","IADL"
89,1.5307,2.7048,0.57292,0.42734,"F","W","IADL"
90,1.4368,2.5501,0.55934,0.44093,"F","W","IADL"
91,1.3463,2.4016,0.54617,0.4541,"F","W","IADL"
92,1.2594,2.2594,0.53346,0.46682,"F","W","IADL"
93,1.1762,2.1237,0.52127,0.47902,"F","W","IADL"
94,1.0966,1.9946,0.50964,0.49064,"F","W","IADL"
95,1.0207,1.872,0.49863,0.50167,"F","W","IADL"
96,0.9485,1.756,0.48826,0.51203,"F","W","IADL"
97,0.8799,1.6466,0.47858,0.5217,"F","W","IADL"
98,0.815,1.5436,0.46963,0.53064,"F","W","IADL"
99,0.7535,1.4469,0.46144,0.53883,"F","W","IADL"
100,0.6956,1.3563,0.45403,0.54624,"F","W","IADL"
101,0.6409,1.2718,0.44744,0.55283,"F","W","IADL"
102,0.5895,1.1931,0.44167,0.55859,"F","W","IADL"
103,0.5412,1.12,0.43675,0.5635,"F","W","IADL"
104,0.4959,1.0524,0.43269,0.56757,"F","W","IADL"
105,0.4535,0.9899,0.42948,0.57077,"F","W","IADL"
106,0.4138,0.9325,0.42712,0.57313,"F","W","IADL"
107,0.3766,0.8799,0.4256,0.57465,"F","W","IADL"
108,0.342,0.8319,0.42489,0.57536,"F","W","IADL"
109,0.3096,0.7882,0.42496,0.57529,"F","W","IADL"
110,0.2795,0.7487,0.42576,0.57449,"F","W","IADL"
50,2.4307,4.3273,0.96647,0.03355,"M","W","IADL"
51,2.4054,4.2963,0.96416,0.03586,"M","W","IADL"
52,2.3789,4.2624,0.9617,0.03832,"M","W","IADL"
53,2.3511,4.2256,0.95909,0.04093,"M","W","IADL"
54,2.3221,4.1858,0.95633,0.04369,"M","W","IADL"
55,2.2919,4.1431,0.95341,0.04662,"M","W","IADL"
56,2.2603,4.0975,0.95031,0.04972,"M","W","IADL"
57,2.2275,4.0489,0.94704,0.05299,"M","W","IADL"
58,2.1935,3.9974,0.94358,0.05645,"M","W","IADL"
59,2.1582,3.9431,0.93994,0.0601,"M","W","IADL"
60,2.1217,3.886,0.93609,0.06394,"M","W","IADL"
61,2.084,3.8262,0.93205,0.06799,"M","W","IADL"
62,2.0451,3.7639,0.92779,0.07225,"M","W","IADL"
63,2.0051,3.6992,0.92332,0.07673,"M","W","IADL"
64,1.964,3.6321,0.91862,0.08143,"M","W","IADL"
65,1.9219,3.5629,0.9137,0.08635,"M","W","IADL"
66,1.8788,3.4917,0.90854,0.09152,"M","W","IADL"
67,1.8348,3.4187,0.90314,0.09692,"M","W","IADL"
68,1.79,3.344,0.89749,0.10257,"M","W","IADL"
69,1.7444,3.2679,0.8916,0.10847,"M","W","IADL"
70,1.6981,3.1905,0.88544,0.11463,"M","W","IADL"
71,1.6513,3.1121,0.87903,0.12104,"M","W","IADL"
72,1.6039,3.0328,0.87235,0.12772,"M","W","IADL"
73,1.5562,2.9529,0.8654,0.13468,"M","W","IADL"
74,1.5082,2.8726,0.85817,0.14191,"M","W","IADL"
75,1.46,2.7921,0.85067,0.14942,"M","W","IADL"
76,1.4116,2.7115,0.84288,0.15722,"M","W","IADL"
77,1.3633,2.6311,0.83479,0.1653,"M","W","IADL"
78,1.315,2.5511,0.82642,0.17369,"M","W","IADL"
79,1.267,2.4716,0.81773,0.18237,"M","W","IADL"
80,1.2193,2.3928,0.80874,0.19137,"M","W","IADL"
81,1.1719,2.3149,0.79943,0.20069,"M","W","IADL"
82,1.125,2.238,0.78979,0.21033,"M","W","IADL"
83,1.0787,2.1623,0.77982,0.22031,"M","W","IADL"
84,1.0331,2.0879,0.76949,0.23064,"M","W","IADL"
85,0.9882,2.0149,0.75881,0.24133,"M","W","IADL"
86,0.944,1.9434,0.74775,0.2524,"M","W","IADL"
87,0.9007,1.8736,0.73629,0.26386,"M","W","IADL"
88,0.8584,1.8054,0.72443,0.27573,"M","W","IADL"
89,0.817,1.739,0.71213,0.28804,"M","W","IADL"
90,0.7767,1.6745,0.69937,0.30081,"M","W","IADL"
91,0.7374,1.6118,0.68614,0.31405,"M","W","IADL"
92,0.6992,1.5511,0.67239,0.3278,"M","W","IADL"
93,0.6621,1.4923,0.6581,0.3421,"M","W","IADL"
94,0.6261,1.4355,0.64323,0.35698,"M","W","IADL"
95,0.5913,1.3807,0.62775,0.37248,"M","W","IADL"
96,0.5577,1.3279,0.61161,0.38862,"M","W","IADL"
97,0.5252,1.2771,0.59478,0.40546,"M","W","IADL"
98,0.4939,1.2282,0.57721,0.42304,"M","W","IADL"
99,0.4638,1.1814,0.55887,0.4414,"M","W","IADL"
100,0.4348,1.1365,0.5397,0.46057,"M","W","IADL"
