"value","ourname"
"12 -13.4194857   0.1290405","ATFadl"
"13 -13.3065589   0.1042107","ATFadl"
"21   1.1962283  -0.0463338","ATFadl"
"23  -7.9089902   0.0653207","ATFadl"
"12  -2.1494121   0.0281940","ATFchr"
"13 -19.7750103   0.2171752","ATFchr"
"21   1.5094814  -0.0566708","ATFchr"
"23 -12.5492875   0.1279168","ATFchr"
"12  -6.2309874   0.0439666","ATFgali"
"13 -18.4246370   0.1674186","ATFgali"
"21  -0.4753209  -0.0231495","ATFgali"
"23  -9.0527332   0.0765823","ATFgali"
"12  -6.3970608   0.0528222","ATFsr"
"13 -15.0317696   0.1190702","ATFsr"
"21  -0.5776599  -0.0265838","ATFsr"
"23 -11.6830740   0.1041830","ATFsr"
"12  -9.2483757   0.0757887","ATMadl"
"13 -11.4408555   0.0918822","ATMadl"
"21   1.7245627  -0.0512568","ATMadl"
"23  -7.9956863   0.0748191","ATMadl"
"12  -3.9608036   0.0566655","ATMchr"
"13 -13.4498860   0.1386904","ATMchr"
"21   0.7976386  -0.0415754","ATMchr"
"23 -10.7103083   0.1145369","ATMchr"
"12  -6.4106493   0.0417607","ATMgali"
"13 -16.0804021   0.1447200","ATMgali"
"21  -0.7595102  -0.0193143","ATMgali"
"23  -8.0915283   0.0763300","ATMgali"
"12  -5.4667340   0.0394863","ATMsr"
"13 -18.3000970   0.1537783","ATMsr"
"21  -1.3023342  -0.0158566","ATMsr"
"23 -10.1860553   0.0971954","ATMsr"
"12  -8.5496843   0.0717904","BEFadl"
"13 -12.6831367   0.1000279","BEFadl"
"21  -1.6377270  -0.0070757","BEFadl"
"23  -9.6743938   0.0878191","BEFadl"
"12  -3.1253328   0.0490680","BEFchr"
"13  -7.5232920   0.0673255","BEFchr"
"21   1.4983533  -0.0598193","BEFchr"
"23 -13.8229623   0.1466059","BEFchr"
"12  -4.1528102   0.0133434","BEFgali"
"13 -16.3186885   0.1485661","BEFgali"
"21  -0.0135208  -0.0256577","BEFgali"
"23  -9.5254217   0.0869306","BEFgali"
"12  -4.6587474   0.0283457","BEFsr"
"13  -8.6683893   0.0404201","BEFsr"
"21  -1.9909959  -0.0045378","BEFsr"
"23 -13.2232567   0.1296537","BEFsr"
"12  -6.6025562   0.0431764","BEMadl"
"13 -12.2941896   0.1058825","BEMadl"
"21  -1.2030366  -0.0091944","BEMadl"
"23  -7.4797403   0.0633490","BEMadl"
"12  -2.7237635   0.0399122","BEMchr"
"13 -14.3474371   0.1532972","BEMchr"
"21  -2.2960947  -0.0017053","BEMchr"
"23  -9.5879015   0.0980056","BEMchr"
"12  -5.2809050   0.0272387","BEMgali"
"13 -15.2833800   0.1407543","BEMgali"
"21  -1.0260963  -0.0106989","BEMgali"
"23  -6.8131916   0.0571207","BEMgali"
"12  -2.8152176   0.0016033","BEMsr"
"13 -14.2185233   0.1268439","BEMsr"
"21  -2.8010639   0.0062020","BEMsr"
"23  -8.8497882   0.0773569","BEMsr"
"12  -6.5916913   0.0438716","CZFadl"
"13 -16.3681869   0.1532204","CZFadl"
"21   1.1408972  -0.0405423","CZFadl"
"23  -7.3930103   0.0615028","CZFadl"
"12  -1.2361878   0.0142509","CZFchr"
"13 -17.1564329   0.1908894","CZFchr"
"21  -0.1572709  -0.0412486","CZFchr"
"23 -12.8723715   0.1369253","CZFchr"
"12  -7.4783265   0.0603593","CZFgali"
"13 -22.3911464   0.2239174","CZFgali"
"21  -0.7216825  -0.0132881","CZFgali"
"23  -7.9671588   0.0692533","CZFgali"
"12  -5.7741289   0.0406011","CZFsr"
"13 -19.0148099   0.1847073","CZFsr"
"21  -1.7838680   0.0003423","CZFsr"
"23 -11.2396447   0.1035330","CZFsr"
"12  -8.9400389   0.0760685","CZMadl"
"13 -11.6629030   0.1018488","CZMadl"
"21  -0.7749424  -0.0186907","CZMadl"
"23  -5.9055073   0.0460015","CZMadl"
"12  -0.4816493   0.0125737","CZMchr"
"13 -14.5118261   0.1648293","CZMchr"
"21   0.0963055  -0.0419786","CZMchr"
"23  -7.9873927   0.0802768","CZMchr"
"12  -6.1835233   0.0394585","CZMgali"
"13 -13.0822616   0.1207360","CZMgali"
"21  -0.3184416  -0.0221048","CZMgali"
"23  -5.2117659   0.0341925","CZMgali"
"12  -4.7424398   0.0255183","CZMsr"
"13 -15.0561614   0.1432850","CZMsr"
"21   1.2351343  -0.0419985","CZMsr"
"23  -6.3777104   0.0456635","CZMsr"
"12  -6.9937839   0.0448953","DEFadl"
"13  -9.4666538   0.0587721","DEFadl"
"21   2.1121145  -0.0590348","DEFadl"
"23 -10.2995738   0.0909713","DEFadl"
"12  -1.5886702   0.0249436","DEFchr"
"13  -2.6623048  -0.0301351","DEFchr"
"21   0.8036333  -0.0491151","DEFchr"
"23 -10.6101541   0.1030097","DEFchr"
"12  -3.7219916   0.0079926","DEFgali"
"13  -8.6179115   0.0418459","DEFgali"
"21   1.1004439  -0.0451281","DEFgali"
"23 -10.2198906   0.0892221","DEFgali"
"12  -5.1267713   0.0375648","DEFsr"
"13 -11.1617077   0.0696146","DEFsr"
"21  -1.3313372  -0.0203574","DEFsr"
"23 -10.1924755   0.0836745","DEFsr"
"12  -8.0112605   0.0629742","DEMadl"
"13  -4.4506134  -0.0104518","DEMadl"
"21   1.8319098  -0.0579400","DEMadl"
"23 -10.8812164   0.1110194","DEMadl"
"12  -2.2657631   0.0374062","DEMchr"
"13 180.6209785  -4.8209075","DEMchr"
"21  -2.0479372  -0.0115333","DEMchr"
"23  -8.4835481   0.0847420","DEMchr"
"12  -5.7111172   0.0365745","DEMgali"
"13  -4.8684258  -0.0101769","DEMgali"
"21  -1.7872237  -0.0047131","DEMgali"
"23  -8.9446875   0.0852555","DEMgali"
"12  -4.6394233   0.0308971","DEMsr"
"13  -6.1620195  -0.0020532","DEMsr"
"21  -3.9715807   0.0196879","DEMsr"
"23  -9.3154408   0.0829306","DEMsr"
"12  -6.6867302   0.0362736","DKFadl"
"13 -14.3263911   0.1321167","DKFadl"
"21  -0.3571346  -0.0226443","DKFadl"
"23  -5.7305453   0.0408354","DKFadl"
"12  -3.1719906   0.0401269","DKFchr"
"13 -15.6693888   0.1766784","DKFchr"
"21   0.6678457  -0.0424093","DKFchr"
"23 -10.2182925   0.1039789","DKFchr"
"12  -6.5829115   0.0409173","DKFgali"
"13 -14.8165265   0.1338589","DKFgali"
"21   1.2815643  -0.0487095","DKFgali"
"23  -6.4776474   0.0533493","DKFgali"
"12  -4.1783824   0.0164037","DKFsr"
"13 -14.7996621   0.1359488","DKFsr"
"21  -0.8383332  -0.0251980","DKFsr"
"23  -9.0702023   0.0765058","DKFsr"
"12  -7.6385281   0.0536909","DKMadl"
"13 -14.6707306   0.1348378","DKMadl"
"21   0.9895608  -0.0447931","DKMadl"
"23  -8.5157420   0.0848683","DKMadl"
"12  -2.4918700   0.0289298","DKMchr"
"13 -16.1340400   0.1747908","DKMchr"
"21   0.5074866  -0.0436917","DKMchr"
"23 -12.3494313   0.1374683","DKMchr"
"12  -7.1217803   0.0481954","DKMgali"
"13 -18.8086690   0.1871184","DKMgali"
"21  -1.0482992  -0.0157564","DKMgali"
"23  -7.3891905   0.0714947","DKMgali"
"12  -4.5755792   0.0233165","DKMsr"
"13 -21.6054153   0.2188542","DKMsr"
"21  -1.1654475  -0.0177849","DKMsr"
"23  -9.6896998   0.0935206","DKMsr"
"12  -7.2157819   0.0540421","EEFadl"
"13 -11.1015745   0.0910486","EEFadl"
"21  -0.6054874  -0.0171163","EEFadl"
"23 -11.9161974   0.1139723","EEFadl"
"12  -3.3895615   0.0521349","EEFchr"
"13 -15.0160630   0.1769895","EEFchr"
"21   1.7918355  -0.0613724","EEFchr"
"23 -10.3527946   0.1056607","EEFchr"
"12  -5.8381828   0.0443226","EEFgali"
"13 -12.5730282   0.1040514","EEFgali"
"21  -0.8445682  -0.0154589","EEFgali"
"23  -9.5094928   0.0843359","EEFgali"
"12  -3.7638318   0.0291609","EEFsr"
"13 -13.2760375   0.1185473","EEFsr"
"21  -0.2670119  -0.0420995","EEFsr"
"23 -11.7075002   0.1039002","EEFsr"
"12  -7.1805237   0.0532211","EEMadl"
"13  -9.7545479   0.0837421","EEMadl"
"21   0.9768143  -0.0427980","EEMadl"
"23  -5.3813964   0.0418717","EEMadl"
"12  -3.5194949   0.0585267","EEMchr"
"13 -12.0201528   0.1431958","EEMchr"
"21  -0.0620362  -0.0306893","EEMchr"
"23  -7.1341226   0.0751848","EEMchr"
"12  -6.4008680   0.0527905","EEMgali"
"13  -9.1113613   0.0709233","EEMgali"
"21  -0.5998489  -0.0197087","EEMgali"
"23  -7.3981717   0.0657152","EEMgali"
"12  -4.7043792   0.0463810","EEMsr"
"13 -13.1276571   0.1222584","EEMsr"
"21  -1.5537597  -0.0200763","EEMsr"
"23  -8.0867854   0.0675320","EEMsr"
"12 -11.0330504   0.1048006","ESFadl"
"13 -14.0949113   0.1266493","ESFadl"
"21  -1.5639021  -0.0095320","ESFadl"
"23  -9.6981921   0.0853300","ESFadl"
"12  -2.9440466   0.0464645","ESFchr"
"13  -9.1596808   0.0893915","ESFchr"
"21   2.6487138  -0.0758748","ESFchr"
"23 -12.9694787   0.1358391","ESFchr"
"12 -10.7833554   0.0984258","ESFgali"
"13 -12.5169023   0.1060364","ESFgali"
"21  -4.5264054   0.0359462","ESFgali"
"23 -13.3696366   0.1355977","ESFgali"
"12  -6.1782499   0.0555451","ESFsr"
