"value","ourname"
" 50  31.8848   4.5709  36.4557  29.0667   6.2563  35.3229","ATFadl"
" 50   9.4692  26.6070  36.0762   6.6676  29.2772  35.9448","ATFchr"
" 50  27.7107   7.9122  35.6229  24.4320  10.2040  34.6360","ATFgali"
" 50  23.2009  12.9022  36.1031  19.8783  15.8454  35.7237","ATFsr"
" 50  28.2783   2.6789  30.9572  25.9973   3.9995  29.9969","ATMadl"
" 50  10.4027  20.3935  30.7962   7.1011  23.3667  30.4678","ATMchr"
" 50  27.0964   4.2529  31.3493  22.4341   6.5749  29.0091","ATMgali"
" 50  21.3837   9.4078  30.7916  17.3890  12.2765  29.6656","ATMsr"
" 50  28.6365   5.6209  34.2574  24.0774   8.9271  33.0046","BEFadl"
" 50   7.5413  25.6950  33.2363   4.8618  28.9277  33.7895","BEFchr"
" 50  28.1178   5.8298  33.9475  25.7613   7.5274  33.2887","BEFgali"
" 50  22.3836  11.1286  33.5122  19.0114  14.4433  33.4547","BEFsr"
" 50  26.9292   3.7471  30.6763  22.7953   6.0324  28.8277","BEMadl"
" 50   7.8854  22.9757  30.8611   4.1800  26.0801  30.2601","BEMchr"
" 50  26.6158   4.2244  30.8401  22.3699   6.0712  28.4411","BEMgali"
" 50  18.8077  10.2840  29.0918  14.7604  12.9943  27.7547","BEMsr"
" 50  28.9713   4.1269  33.0982  26.6523   5.3961  32.0484","CZFadl"
" 50   6.9491  26.0498  32.9988   3.6808  29.1530  32.8338","CZFchr"
" 50  28.4430   5.0245  33.4675  25.1718   6.8502  32.0220","CZFgali"
" 50  27.1610   7.5113  34.6723  24.1784  10.0370  34.2154","CZFsr"
" 50  24.4372   3.2355  27.6726  18.9158   5.3972  24.3131","CZMadl"
" 50   4.9649  22.0250  26.9899   2.8418  23.5094  26.3512","CZMchr"
" 50  24.3618   3.7740  28.1358  19.9288   5.3559  25.2847","CZMgali"
" 50  24.2647   5.8243  30.0890  22.1431   6.8954  29.0385","CZMsr"
" 50  31.2975   4.8970  36.1945  29.7649   6.3119  36.0768","DEFadl"
" 50   7.1927  28.2239  35.4166   4.7773  30.8868  35.6640","DEFchr"
" 50  29.2443   8.0733  37.3176  27.4725   9.6702  37.1427","DEFgali"
" 50  19.2624  16.3047  35.5671  15.2597  19.6808  34.9406","DEFsr"
" 50  24.7750   3.5465  28.3215  23.2471   5.3152  28.5623","DEMadl"
" 50  -1.#IND  -1.#IND  -1.#IND  -1.#IND  -1.#IND  -1.#IND","DEMchr"
" 50  23.8700   5.5838  29.4538  19.8185   8.5085  28.3269","DEMgali"
" 50  17.5214  12.0460  29.5674  12.2887  15.8859  28.1746","DEMsr"
" 50  29.2983   2.5177  31.8160  24.2489   4.4685  28.7174","DKFadl"
" 50  10.8142  21.5408  32.3550   7.1117  24.8535  31.9653","DKFchr"
" 50  27.7693   3.6345  31.4037  24.1768   5.1141  29.2909","DKFgali"
" 50  21.7708   9.3889  31.1597  17.7787  12.3018  30.0805","DKFsr"
" 50  27.6869   2.6472  30.3341  24.3463   4.4543  28.8006","DKMadl"
" 50   9.9014  20.2711  30.1725   6.0824  23.7918  29.8742","DKMchr"
" 50  26.8011   2.9022  29.7033  20.6434   5.3429  25.9863","DKMgali"
" 50  21.5071   7.5419  29.0490  17.4292  10.2692  27.6984","DKMsr"
" 50  26.8626   4.5499  31.4125  24.5254   6.8299  31.3553","EEFadl"
" 50   8.3360  23.4052  31.7413   5.5708  25.9485  31.5193","EEFchr"
" 50  23.6249   8.1850  31.8099  20.8206  10.3370  31.1576","EEFgali"
" 50  10.4317  21.1150  31.5467   7.7967  23.5869  31.3836","EEFsr"
" 50  20.3420   2.4950  22.8370  16.8256   3.9141  20.7397","EEMadl"
" 50   6.8970  16.4386  23.3356   4.0380  18.3303  22.3683","EEMchr"
" 50  18.4084   5.0158  23.4242  15.2721   6.9644  22.2365","EEMgali"
" 50   9.0703  14.4184  23.4887   5.9922  16.4114  22.4036","EEMsr"
" 50  27.8145   5.3026  33.1171  23.0342   8.9661  32.0004","ESFadl"
" 50   7.8386  25.7023  33.5409   5.4947  28.2891  33.7838","ESFchr"
" 50  29.3798   3.6076  32.9874  22.9940   9.4982  32.4922","ESFgali"
" 50  19.1684  14.4062  33.5745  16.1971  17.3898  33.5868","ESFsr"
" 50  26.3374   2.3048  28.6421  19.8968   6.5775  26.4742","ESMadl"
" 50   7.5003  21.5874  29.0876   5.5549  22.9409  28.4958","ESMchr"
" 50  25.7020   1.9675  27.6695  23.3050   2.6518  25.9568","ESMgali"
" 50  17.8001  10.6159  28.4160  15.0286  12.1485  27.1771","ESMsr"
" 50  33.4738   4.3973  37.8711  30.1291   5.7060  35.8351","FRFadl"
" 50   8.6261  28.9794  37.6056   5.7145  31.7816  37.4960","FRFchr"
" 50  32.1462   5.1025  37.2486  28.1340   6.8937  35.0277","FRFgali"
" 50  23.4652  13.4627  36.9279  18.8899  16.8873  35.7772","FRFsr"
" 50  29.0469   2.4497  31.4966  27.1350   4.3753  31.5103","FRMadl"
" 50   8.7883  21.9424  30.7307   6.1818  25.1005  31.2823","FRMchr"
" 50  27.3327   3.8800  31.2127  24.6491   5.9028  30.5519","FRMgali"
" 50  20.8796  10.3293  31.2090  16.7179  13.5906  30.3085","FRMsr"
" 50  32.0850   2.1280  34.2129  25.6908   5.9944  31.6852","GRFadl"
" 50  10.9474  22.8324  33.7798   6.6756  27.0744  33.7501","GRFchr"
" 50  32.0322   2.0425  34.0747  25.7598   6.1158  31.8756","GRFgali"
" 50  24.8283   9.5599  34.3882  21.5364  12.5761  34.1124","GRFsr"
" 50  27.9367   1.2428  29.1796  17.1738   3.1691  20.3429","GRMadl"
" 50  11.8778  17.6983  29.5761   8.8506  20.5233  29.3739","GRMchr"
" 50  28.9437   1.0047  29.9484  23.6854   2.6888  26.3742","GRMgali"
" 50  23.0781   6.4022  29.4803  20.4122   8.5527  28.9650","GRMsr"
" 50  25.0932   3.4753  28.5685  23.5595   4.5556  28.1151","HRFadl"
" 50   7.2633  21.4980  28.7612   3.9339  24.6895  28.6233","HRFchr"
" 50  24.0127   5.0604  29.0731  21.2672   6.8542  28.1215","HRFgali"
" 50  16.1392  12.7141  28.8533  14.0419  14.5322  28.5741","HRFsr"
" 50  21.6167   2.2190  23.8357  20.0203   3.1130  23.1333","HRMadl"
" 50   5.8893  18.3467  24.2361   4.1605  20.0222  24.1827","HRMchr"
" 50  21.1348   3.7936  24.9284  18.0024   5.3831  23.3855","HRMgali"
" 50  15.2963   9.3429  24.6392  12.1321  11.7134  23.8455","HRMsr"
" 50  30.1191   4.4290  34.5481  27.8720   6.4449  34.3169","ITFadl"
" 50  10.2569  24.2099  34.4668   8.1018  26.3009  34.4027","ITFchr"
" 50  28.1486   5.9805  34.1291  24.2371   7.5946  31.8316","ITFgali"
" 50  18.4888  15.7296  34.2184  16.0758  18.1680  34.2438","ITFsr"
" 50  30.2522   2.4451  32.6973  26.7516   4.7577  31.5092","ITMadl"
" 50  11.8734  20.7248  32.5982   9.1800  23.3744  32.5545","ITMchr"
" 50  28.3461   4.4474  32.7935  25.8358   6.2908  32.1266","ITMgali"
" 50  20.1156  12.5037  32.6193  16.9881  15.3494  32.3374","ITMsr"
" 50  25.6074   3.8928  29.5002  23.6775   5.0773  28.7548","PLFadl"
" 50   8.1274  21.6751  29.8025   4.3860  24.8376  29.2236","PLFchr"
" 50  23.2201   5.8336  29.0537  21.3947   6.9406  28.3354","PLFgali"
" 50  15.8786  13.8337  29.7123  13.4118  15.9902  29.4020","PLFsr"
" 50  20.8871   3.0772  23.9643  19.4765   4.1324  23.6089","PLMadl"
" 50   6.1001  17.7260  23.8262   4.1631  20.0889  24.2520","PLMchr"
" 50  18.0073   5.7229  23.7302  15.9625   7.6351  23.5976","PLMgali"
" 50  12.3016  12.1139  24.4155  10.7759  13.3245  24.1004","PLMsr"
" 50  32.8828   2.7408  35.6236  29.9498   5.9897  35.9395","SEFadl"
" 50  10.3684  25.3327  35.7011   6.9742  28.3897  35.3640","SEFchr"
" 50  30.0836   5.7862  35.8698  27.7125   8.1700  35.8826","SEFgali"
" 50  25.3686  10.2025  35.5712  20.5085  14.6249  35.1334","SEFsr"
" 50  30.6063   2.7653  33.3717  28.0876   4.7009  32.7884","SEMadl"
" 50  10.1732  23.1111  33.2843   6.7740  26.2278  33.0019","SEMchr"
" 50  28.8816   4.0751  32.9567  25.5210   6.2541  31.7751","SEMgali"
" 50  23.3916   9.1613  32.5529  20.5209  11.4185  31.9394","SEMsr"
