"age","prev","ourname"
"50","0.00284","ATFadl"
"51","0.00331","ATFadl"
"52","0.00386","ATFadl"
"53","0.00449","ATFadl"
"54","0.00523","ATFadl"
"55","0.00610","ATFadl"
"56","0.00710","ATFadl"
"57","0.00826","ATFadl"
"58","0.00961","ATFadl"
"59","0.01117","ATFadl"
"60","0.01298","ATFadl"
"61","0.01507","ATFadl"
"62","0.01749","ATFadl"
"63","0.02028","ATFadl"
"64","0.02349","ATFadl"
"65","0.02719","ATFadl"
"66","0.03143","ATFadl"
"67","0.03630","ATFadl"
"68","0.04187","ATFadl"
"69","0.04822","ATFadl"
"70","0.05546","ATFadl"
"71","0.06368","ATFadl"
"72","0.07300","ATFadl"
"73","0.08351","ATFadl"
"74","0.09535","ATFadl"
"75","0.10865","ATFadl"
"76","0.12351","ATFadl"
"77","0.14004","ATFadl"
"78","0.15839","ATFadl"
"79","0.17863","ATFadl"
"80","0.20088","ATFadl"
"81","0.22519","ATFadl"
"82","0.25162","ATFadl"
"83","0.28017","ATFadl"
"84","0.31082","ATFadl"
"85","0.34350","ATFadl"
"86","0.37808","ATFadl"
"87","0.41439","ATFadl"
"88","0.45217","ATFadl"
"89","0.49116","ATFadl"
"90","0.53089","ATFadl"
"50","0.54980","ATFchr"
"51","0.56470","ATFchr"
"52","0.57959","ATFchr"
"53","0.59445","ATFchr"
"54","0.60924","ATFchr"
"55","0.62384","ATFchr"
"56","0.63839","ATFchr"
"57","0.65279","ATFchr"
"58","0.66699","ATFchr"
"59","0.68098","ATFchr"
"60","0.69472","ATFchr"
"61","0.70813","ATFchr"
"62","0.72130","ATFchr"
"63","0.73416","ATFchr"
"64","0.74668","ATFchr"
"65","0.75886","ATFchr"
"66","0.77066","ATFchr"
"67","0.78209","ATFchr"
"68","0.79313","ATFchr"
"69","0.80374","ATFchr"
"70","0.81398","ATFchr"
"71","0.82382","ATFchr"
"72","0.83326","ATFchr"
"73","0.84230","ATFchr"
"74","0.85094","ATFchr"
"75","0.85918","ATFchr"
"76","0.86705","ATFchr"
"77","0.87453","ATFchr"
"78","0.88166","ATFchr"
"79","0.88843","ATFchr"
"80","0.89487","ATFchr"
"81","0.90099","ATFchr"
"82","0.90680","ATFchr"
"83","0.91232","ATFchr"
"84","0.91756","ATFchr"
"85","0.92256","ATFchr"
"86","0.92732","ATFchr"
"87","0.93186","ATFchr"
"88","0.93619","ATFchr"
"89","0.94035","ATFchr"
"90","0.94432","ATFchr"
"50","0.08234","ATFgali"
"51","0.08692","ATFgali"
"52","0.09170","ATFgali"
"53","0.09673","ATFgali"
"54","0.10199","ATFgali"
"55","0.10748","ATFgali"
"56","0.11322","ATFgali"
"57","0.11922","ATFgali"
"58","0.12546","ATFgali"
"59","0.13197","ATFgali"
"60","0.13874","ATFgali"
"61","0.14576","ATFgali"
"62","0.15307","ATFgali"
"63","0.16063","ATFgali"
"64","0.16845","ATFgali"
"65","0.17654","ATFgali"
"66","0.18489","ATFgali"
"67","0.19350","ATFgali"
"68","0.20235","ATFgali"
"69","0.21143","ATFgali"
"70","0.22075","ATFgali"
"71","0.23030","ATFgali"
"72","0.24006","ATFgali"
"73","0.25002","ATFgali"
"74","0.26017","ATFgali"
"75","0.27047","ATFgali"
"76","0.28096","ATFgali"
"77","0.29159","ATFgali"
"78","0.30236","ATFgali"
"79","0.31325","ATFgali"
"80","0.32425","ATFgali"
"81","0.33535","ATFgali"
"82","0.34658","ATFgali"
"83","0.35787","ATFgali"
"84","0.36925","ATFgali"
"85","0.38072","ATFgali"
"86","0.39230","ATFgali"
"87","0.40400","ATFgali"
"88","0.41587","ATFgali"
"89","0.42788","ATFgali"
"90","0.44010","ATFgali"
