# FRMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.95059 3 3 0.04941 0 3
 52 0.89545 3 3 0.10455 0 3
 53 0.92258 2 2 0.07742 0 2
 54 0.82655 3 3 0.17345 1 3
 55 0.95633 3 3 0.04367 0 3
 56 0.96093 4 4 0.03907 0 4
 57 0.92945 2 3 0.07055 0 3
 58 1.00000 1 1 0.00000 0 1
 59 0.90868 2 2 0.09132 0 2
 60 0.90069 2 3 0.09931 0 3
 61 0.90284 3 3 0.09716 0 3
 62 0.98424 3 3 0.01576 0 3
 63 0.94133 3 3 0.05867 0 3
 64 0.94514 3 4 0.05486 0 4
 65 0.90982 3 3 0.09018 0 3
 66 0.93452 2 2 0.06548 0 2
 67 0.89015 3 3 0.10985 0 3
 68 0.94041 3 3 0.05959 0 3
 69 0.87327 2 2 0.12673 0 2
 70 0.93069 2 2 0.06931 0 2
 71 0.89789 1 2 0.10211 0 2
 72 0.78906 2 2 0.21094 0 2
 73 0.80040 1 1 0.19960 0 1
 74 0.83388 1 2 0.16612 0 2
 75 0.77276 1 2 0.22724 0 2
 76 0.73349 1 2 0.26651 0 2
 77 0.84743 1 1 0.15257 0 1
 78 0.95652 1 1 0.04348 0 1
 79 0.80727 1 1 0.19273 0 1
 80 0.60476 1 1 0.39524 0 1
 81 0.71789 1 1 0.28211 0 1
 82 0.74831 1 1 0.25169 0 1
 83 0.58837 1 1 0.41163 0 1
 84 0.65805 1 1 0.34195 0 1
 85 0.63801 0 0 0.36199 0 0
 86 0.81762 0 0 0.18238 0 0
 87 0.48524 0 1 0.51476 1 1
 88 0.81929 0 0 0.18071 0 0
 89 0.50313 0 0 0.49687 0 0
 90 0.31339 0 0 0.68661 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
