# FRFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.83912 2 2 0.16088 0 2
 52 0.75852 2 3 0.24148 1 3
 53 0.80078 3 4 0.19922 1 4
 54 0.83048 3 3 0.16952 1 3
 55 0.86642 2 2 0.13358 0 2
 56 0.64415 2 3 0.35585 1 3
 57 0.70900 1 2 0.29100 1 2
 58 0.75582 1 2 0.24418 0 2
 59 0.79380 1 2 0.20620 0 2
 60 0.76314 2 2 0.23686 1 2
 61 0.80286 2 3 0.19714 1 3
 62 0.68513 2 3 0.31487 1 3
 63 0.62205 2 3 0.37795 1 3
 64 0.69929 2 3 0.30071 1 3
 65 0.76209 2 2 0.23791 1 2
 66 0.61779 2 3 0.38221 1 3
 67 0.80722 2 3 0.19278 1 3
 68 0.64342 2 3 0.35658 1 3
 69 0.70113 2 2 0.29887 1 2
 70 0.64415 1 2 0.35585 1 2
 71 0.65347 2 2 0.34653 1 2
 72 0.57838 1 2 0.42162 1 2
 73 0.51512 1 1 0.48488 1 1
 74 0.62675 1 2 0.37325 1 2
 75 0.49587 1 2 0.50413 1 2
 76 0.62904 1 1 0.37096 1 1
 77 0.52118 1 2 0.47882 1 2
 78 0.63118 1 1 0.36882 0 1
 79 0.42085 1 2 0.57915 1 2
 80 0.46088 1 2 0.53912 1 2
 81 0.34292 1 2 0.65708 1 2
 82 0.52727 1 1 0.47273 1 1
 83 0.34495 0 1 0.65505 1 1
 84 0.58579 1 1 0.41421 0 1
 85 0.33840 0 1 0.66160 1 1
 86 0.31493 0 1 0.68507 1 1
 87 0.43679 0 1 0.56321 0 1
 88 0.54236 0 1 0.45764 0 1
 89 0.39528 0 1 0.60472 0 1
 90 0.14245 0 1 0.85755 1 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
