# EEFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.43123 1 3 0.56877 2 3
 52 0.27521 1 2 0.72479 2 2
 53 0.27022 1 2 0.72978 2 2
 54 0.31702 1 2 0.68298 2 2
 55 0.45584 1 2 0.54416 1 2
 56 0.38547 1 3 0.61453 2 3
 57 0.32764 1 2 0.67236 2 2
 58 0.33163 1 3 0.66837 2 3
 59 0.21517 1 3 0.78483 2 3
 60 0.25546 1 3 0.74454 2 3
 61 0.26639 1 3 0.73361 2 3
 62 0.11113 0 2 0.88887 2 2
 63 0.16102 0 2 0.83898 2 2
 64 0.17253 0 2 0.82747 2 2
 65 0.16306 0 3 0.83694 2 3
 66 0.19796 0 3 0.80204 2 3
 67 0.15319 0 3 0.84681 3 3
 68 0.14298 0 3 0.85702 2 3
 69 0.14905 0 2 0.85095 2 2
 70 0.09521 0 2 0.90479 2 2
 71 0.13853 0 1 0.86147 1 1
 72 0.12459 0 2 0.87541 2 2
 73 0.10314 0 3 0.89686 2 3
 74 0.10446 0 2 0.89554 2 2
 75 0.09603 0 3 0.90397 3 3
 76 0.05007 0 3 0.94993 2 3
 77 0.09684 0 2 0.90316 2 2
 78 0.05669 0 2 0.94331 2 2
 79 0.05631 0 2 0.94369 2 2
 80 0.06794 0 2 0.93206 2 2
 81 0.01009 0 2 0.98991 2 2
 82 0.02223 0 2 0.97777 2 2
 83 0.02705 0 2 0.97295 2 2
 84 0.07081 0 1 0.92919 1 1
 85 0.09089 0 1 0.90911 1 1
 86 0.06953 0 1 0.93047 1 1
 87 0.03635 0 1 0.96365 1 1
 88 0.04544 0 1 0.95456 1 1
 89 0.06895 0 1 0.93105 0 1
 90 0.05882 0 1 0.94118 1 1
 91 0.12488 0 0 0.87512 0 0
 92 0.28571 0 0 0.71429 0 0
 93 0.15376 0 0 0.84624 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.33498 0 0 0.66502 0 0
 96 0.50000 0 0 0.50000 0 0
 97 1.00000 0 0 0.00000 0 0
 98 NaNq 0 0 NaNq 0 0
 99 0.00000 0 0 1.00000 0 0
 100 0.00000 0 0 1.00000 0 0
 101 NaNq 0 0 NaNq 0 0
 102 NaNq 0 0 NaNq 0 0
 103 NaNq 0 0 NaNq 0 0
 104 0.00000 0 0 1.00000 0 0
