# EEFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.59532 2 3 0.40468 1 3
 52 0.59183 1 2 0.40817 1 2
 53 0.53628 1 3 0.46372 1 3
 54 0.46381 1 2 0.53619 1 2
 55 0.55686 1 3 0.44314 1 3
 56 0.46571 1 3 0.53429 1 3
 57 0.53789 1 3 0.46211 1 3
 58 0.38413 1 3 0.61587 2 3
 59 0.40550 1 3 0.59450 2 3
 60 0.27119 1 3 0.72881 2 3
 61 0.45953 1 3 0.54047 1 3
 62 0.31003 1 2 0.68997 2 2
 63 0.28966 1 2 0.71034 2 2
 64 0.35278 1 2 0.64722 2 2
 65 0.36320 1 3 0.63680 2 3
 66 0.24829 1 3 0.75171 2 3
 67 0.28643 1 3 0.71357 2 3
 68 0.30269 1 3 0.69731 2 3
 69 0.21125 1 2 0.78875 2 2
 70 0.24197 1 2 0.75803 2 2
 71 0.28268 0 1 0.71732 1 1
 72 0.26024 1 2 0.73976 2 2
 73 0.18210 0 3 0.81790 2 3
 74 0.18681 0 2 0.81319 2 2
 75 0.16395 0 3 0.83605 2 3
 76 0.17167 0 3 0.82833 2 3
 77 0.18214 0 2 0.81786 2 2
 78 0.05800 0 2 0.94200 2 2
 79 0.06786 0 2 0.93214 2 2
 80 0.10176 0 2 0.89824 2 2
 81 0.08148 0 2 0.91852 2 2
 82 0.08184 0 2 0.91816 2 2
 83 0.05490 0 2 0.94510 2 2
 84 0.03528 0 2 0.96472 2 2
 85 0.09676 0 1 0.90324 1 1
 86 0.10545 0 1 0.89455 1 1
 87 0.06893 0 1 0.93107 1 1
 88 0.13633 0 1 0.86367 1 1
 89 0.06895 0 1 0.93105 0 1
 90 0.17647 0 1 0.82353 1 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
