# GRFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.90371 2 2 0.09629 0 2
 52 0.91935 1 1 0.08065 0 1
 53 0.95841 1 1 0.04159 0 1
 54 0.82566 1 2 0.17434 0 2
 55 0.80728 1 2 0.19272 0 2
 56 0.84856 1 1 0.15144 0 1
 57 0.81947 1 1 0.18053 0 1
 58 0.79035 1 2 0.20965 0 2
 59 0.80777 1 2 0.19223 0 2
 60 0.76799 1 2 0.23201 0 2
 61 0.76966 2 2 0.23034 0 2
 62 0.81064 2 2 0.18936 0 2
 63 0.75731 2 2 0.24269 1 2
 64 0.76953 2 2 0.23047 1 2
 65 0.76282 2 2 0.23718 1 2
 66 0.74796 1 2 0.25204 0 2
 67 0.67266 1 2 0.32734 1 2
 68 0.63924 1 1 0.36076 0 1
 69 0.83271 2 2 0.16729 0 2
 70 0.57902 1 2 0.42098 1 2
 71 0.45635 1 2 0.54365 1 2
 72 0.57536 1 1 0.42464 1 1
 73 0.38008 0 1 0.61992 1 1
 74 0.55417 1 1 0.44583 1 1
 75 0.45723 1 2 0.54277 1 2
 76 0.44404 1 2 0.55596 1 2
 77 0.43028 1 2 0.56972 1 2
 78 0.37663 1 1 0.62337 1 1
 79 0.31591 0 2 0.68409 1 2
 80 0.36977 1 2 0.63023 1 2
 81 0.17336 0 2 0.82664 2 2
 82 0.54109 1 1 0.45891 1 1
 83 0.26098 0 2 0.73902 1 2
 84 0.28124 0 1 0.71876 1 1
 85 0.29163 0 1 0.70837 1 1
 86 0.17344 0 1 0.82656 1 1
 87 0.34724 0 1 0.65276 1 1
 88 0.40272 0 1 0.59728 0 1
 89 0.17362 0 1 0.82638 1 1
 90 0.29844 0 0 0.70156 0 0
 91 NaNq 0 0 NaNq 0 0
 92 NaNq 0 0 NaNq 0 0
