# HRMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:17 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.75298 1 1 0.24702 0 1
 52 0.76644 3 3 0.23356 1 3
 53 0.76748 3 4 0.23252 1 4
 54 0.67047 3 5 0.32953 2 5
 55 0.69761 2 3 0.30239 1 3
 56 0.56598 2 4 0.43402 2 4
 57 0.62605 3 4 0.37395 2 4
 58 0.60665 2 4 0.39335 2 4
 59 0.63793 2 3 0.36207 1 3
 60 0.52238 2 4 0.47762 2 4
 61 0.54293 2 3 0.45707 1 3
 62 0.56098 1 2 0.43902 1 2
 63 0.69083 2 3 0.30917 1 3
 64 0.45953 1 2 0.54047 1 2
 65 0.44561 2 4 0.55439 2 4
 66 0.64668 2 3 0.35332 1 3
 67 0.71920 2 2 0.28080 1 2
 68 0.49723 1 3 0.50277 1 3
 69 0.44180 1 2 0.55820 1 2
 70 0.54151 1 2 0.45849 1 2
 71 0.43164 1 2 0.56836 1 2
 72 0.49425 1 2 0.50575 1 2
 73 0.47360 1 2 0.52640 1 2
 74 0.48502 1 2 0.51498 1 2
 75 0.49766 1 2 0.50234 1 2
 76 0.53524 1 2 0.46476 1 2
 77 0.29949 0 1 0.70051 1 1
 78 0.50894 1 1 0.49106 1 1
 79 0.38478 0 1 0.61522 1 1
 80 0.40052 0 1 0.59948 1 1
 81 0.74773 1 1 0.25227 0 1
 82 0.33895 1 2 0.66105 1 2
 83 0.40767 0 1 0.59233 0 1
 84 0.25534 0 0 0.74466 0 0
 85 0.21607 0 1 0.78393 1 1
 86 0.73191 0 0 0.26809 0 0
 87 0.30889 0 0 0.69111 0 0
 88 0.65919 0 0 0.34081 0 0
 89 0.00000 0 0 1.00000 0 0
 90 0.40934 0 0 0.59066 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
 94 0.00000 0 0 1.00000 0 0
