# DEFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:20:49 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.24671 0 1 0.75329 1 1
 52 0.28206 1 3 0.71794 2 3
 53 0.35593 1 4 0.64407 2 4
 54 0.41594 1 3 0.58406 2 3
 55 0.27273 1 3 0.72727 2 3
 56 0.24182 1 4 0.75818 3 4
 57 0.25351 1 2 0.74649 2 2
 58 0.26754 1 3 0.73246 2 3
 59 0.33342 1 3 0.66658 2 3
 60 0.32002 1 2 0.67998 2 2
 61 0.19423 1 3 0.80577 2 3
 62 0.15256 0 2 0.84744 2 2
 63 0.16436 0 3 0.83564 2 3
 64 0.26302 1 3 0.73698 2 3
 65 0.15893 0 3 0.84107 2 3
 66 0.13514 0 2 0.86486 2 2
 67 0.15749 0 3 0.84251 2 3
 68 0.11660 0 2 0.88340 1 2
 69 0.14445 0 1 0.85555 1 1
 70 0.15891 0 2 0.84109 2 2
 71 0.17368 0 2 0.82632 2 2
 72 0.17417 1 3 0.82583 2 3
 73 0.06031 0 3 0.93969 3 3
 74 0.15120 0 3 0.84880 3 3
 75 0.27686 1 2 0.72314 1 2
 76 0.15265 0 3 0.84735 2 3
 77 0.18528 0 2 0.81472 2 2
 78 0.06931 0 2 0.93069 2 2
 79 0.06172 0 2 0.93828 2 2
 80 0.00000 0 2 1.00000 2 2
 81 0.02655 0 2 0.97345 2 2
 82 0.00000 0 1 1.00000 1 1
 83 0.00000 0 1 1.00000 1 1
 84 0.10081 0 1 0.89919 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.18585 0 1 0.81415 0 1
 87 0.00000 0 1 1.00000 1 1
 88 0.00000 0 1 1.00000 1 1
 89 0.12942 0 1 0.87058 1 1
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 0.00000 0 0 1.00000 0 0
 93 NaNq 0 0 NaNq 0 0
 94 0.00000 0 0 1.00000 0 0
