# FRMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 21:41:28 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.70591 2 3 0.29409 1 3
 52 0.65556 2 3 0.34444 1 3
 53 0.84207 2 2 0.15793 0 2
 54 0.69851 2 3 0.30149 1 3
 55 0.82160 2 3 0.17840 0 3
 56 0.78541 3 4 0.21459 1 4
 57 0.82516 2 3 0.17484 0 3
 58 0.78601 1 1 0.21399 0 1
 59 0.82811 2 2 0.17189 0 2
 60 0.71323 2 3 0.28677 1 3
 61 0.67663 2 3 0.32337 1 3
 62 0.75539 3 3 0.24461 1 3
 63 0.66790 2 3 0.33210 1 3
 64 0.75889 3 4 0.24111 1 4
 65 0.71318 2 3 0.28682 1 3
 66 0.72413 2 2 0.27587 1 2
 67 0.62748 2 3 0.37252 1 3
 68 0.83357 2 3 0.16643 0 3
 69 0.73855 1 2 0.26145 0 2
 70 0.77301 1 2 0.22699 0 2
 71 0.67806 1 2 0.32194 1 2
 72 0.47936 1 2 0.52064 1 2
 73 0.49560 1 1 0.50440 1 1
 74 0.70693 1 1 0.29307 0 1
 75 0.61213 1 2 0.38787 1 2
 76 0.62536 1 2 0.37464 1 2
 77 0.63957 1 1 0.36043 1 1
 78 0.51965 1 1 0.48035 1 1
 79 0.59566 1 1 0.40434 1 1
 80 0.41344 0 1 0.58656 1 1
 81 0.44038 0 1 0.55962 1 1
 82 0.52685 1 1 0.47315 1 1
 83 0.36761 0 1 0.63239 1 1
 84 0.46592 0 1 0.53408 0 1
 85 0.33330 0 0 0.66670 0 0
 86 0.55444 0 0 0.44556 0 0
 87 0.16862 0 1 0.83138 1 1
 88 0.31244 0 0 0.68756 0 0
 89 0.24727 0 0 0.75273 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.40916 0 0 0.59084 0 0
 92 0.45974 0 0 0.54026 0 0
 93 1.00000 0 0 0.00000 0 0
 94 0.15661 0 0 0.84339 0 0
 95 0.00000 0 0 1.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.00000 0 0 1.00000 0 0
