# ITMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.99387 2 2 0.00613 0 2
 52 0.89909 3 3 0.10091 0 3
 53 0.99150 6 6 0.00850 0 6
 54 0.96731 3 3 0.03269 0 3
 55 1.00000 2 2 0.00000 0 2
 56 0.97991 3 3 0.02009 0 3
 57 0.94306 2 2 0.05694 0 2
 58 1.00000 1 1 0.00000 0 1
 59 0.92393 2 2 0.07607 0 2
 60 0.99352 2 2 0.00648 0 2
 61 0.93480 2 2 0.06520 0 2
 62 0.92662 2 2 0.07338 0 2
 63 0.98844 3 3 0.01156 0 3
 64 0.87665 2 2 0.12335 0 2
 65 0.96381 3 3 0.03619 0 3
 66 0.95259 2 3 0.04741 0 3
 67 0.95931 3 3 0.04069 0 3
 68 0.90199 3 3 0.09801 0 3
 69 0.95070 2 2 0.04930 0 2
 70 0.94265 2 2 0.05735 0 2
 71 0.95502 2 2 0.04498 0 2
 72 0.94854 2 2 0.05146 0 2
 73 0.93553 2 2 0.06447 0 2
 74 0.94317 3 3 0.05683 0 3
 75 0.89558 2 3 0.10442 0 3
 76 0.93424 1 1 0.06576 0 1
 77 0.81030 2 2 0.18970 0 2
 78 0.97983 1 2 0.02017 0 2
 79 0.79526 1 1 0.20474 0 1
 80 0.82518 1 1 0.17482 0 1
 81 0.88068 2 2 0.11932 0 2
 82 0.75112 1 1 0.24888 0 1
 83 0.78680 1 1 0.21320 0 1
 84 0.78912 1 1 0.21088 0 1
 85 0.63041 1 1 0.36959 0 1
 86 0.54418 0 1 0.45582 0 1
 87 0.72966 1 1 0.27034 0 1
 88 0.21078 0 0 0.78922 0 0
 89 0.55355 0 0 0.44645 0 0
 90 0.56847 0 0 0.43153 0 0
 91 0.71849 0 0 0.28151 0 0
 92 NaNq 0 0 NaNq 0 0
