# BEMadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.94756 3 3 0.05244 0 3
 52 0.94508 3 3 0.05492 0 3
 53 0.90007 3 4 0.09993 0 4
 54 0.93370 3 4 0.06630 0 4
 55 0.91033 4 4 0.08967 0 4
 56 0.84861 3 3 0.15139 0 3
 57 0.98790 4 4 0.01210 0 4
 58 0.92912 2 3 0.07088 0 3
 59 0.92132 1 2 0.07868 0 2
 60 0.88963 2 3 0.11037 0 3
 61 0.91323 2 3 0.08677 0 3
 62 0.88426 2 2 0.11574 0 2
 63 0.88051 2 3 0.11949 0 3
 64 0.91727 3 3 0.08273 0 3
 65 0.88139 2 3 0.11861 0 3
 66 0.91732 3 3 0.08268 0 3
 67 0.82893 2 3 0.17107 0 3
 68 0.92968 3 3 0.07032 0 3
 69 0.92274 2 3 0.07726 0 3
 70 0.85578 2 2 0.14422 0 2
 71 0.83392 2 2 0.16608 0 2
 72 0.88494 1 2 0.11506 0 2
 73 0.77317 1 1 0.22683 0 1
 74 0.88258 2 2 0.11742 0 2
 75 0.85033 1 2 0.14967 0 2
 76 0.87069 1 2 0.12931 0 2
 77 0.93134 1 2 0.06866 0 2
 78 0.79110 1 2 0.20890 0 2
 79 0.82563 1 1 0.17437 0 1
 80 0.84313 1 2 0.15687 0 2
 81 0.80991 1 1 0.19009 0 1
 82 0.78170 1 1 0.21830 0 1
 83 0.70227 1 1 0.29773 0 1
 84 0.81592 1 1 0.18408 0 1
 85 0.67465 1 1 0.32535 0 1
 86 0.81397 0 1 0.18603 0 1
 87 0.67815 0 1 0.32185 0 1
 88 0.66443 0 0 0.33557 0 0
 89 0.51868 0 0 0.48132 0 0
 90 0.63015 0 0 0.36985 0 0
 91 0.50822 0 0 0.49178 0 0
 92 NaNq 0 0 NaNq 0 0
