# ESMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 1 1 0.00000 0 1
 52 0.93270 0 0 0.06730 0 0
 53 0.99899 0 0 0.00101 0 0
 54 1.00000 6 6 0.00000 0 6
 55 1.00000 5 5 0.00000 0 5
 56 0.98659 9 9 0.01341 0 9
 57 0.99993 8 8 0.00007 0 8
 58 1.00000 2 2 0.00000 0 2
 59 0.95105 1 1 0.04895 0 1
 60 1.00000 1 1 0.00000 0 1
 61 0.93000 2 2 0.07000 0 2
 62 0.96530 2 2 0.03470 0 2
 63 0.97140 2 2 0.02860 0 2
 64 0.93920 4 4 0.06080 0 4
 65 0.95032 2 2 0.04968 0 2
 66 0.95802 2 2 0.04198 0 2
 67 0.99669 3 3 0.00331 0 3
 68 0.95502 2 3 0.04498 0 3
 69 0.90809 2 2 0.09191 0 2
 70 1.00000 2 2 0.00000 0 2
 71 0.94301 1 2 0.05699 0 2
 72 0.98055 2 2 0.01945 0 2
 73 0.93916 1 1 0.06084 0 1
 74 0.91144 2 2 0.08856 0 2
 75 0.94268 2 2 0.05732 0 2
 76 0.97119 1 1 0.02881 0 1
 77 0.91595 1 2 0.08405 0 2
 78 0.95221 2 2 0.04779 0 2
 79 0.89665 2 2 0.10335 0 2
 80 0.99353 1 1 0.00647 0 1
 81 0.99001 1 1 0.00999 0 1
 82 0.97621 2 2 0.02379 0 2
 83 0.89065 1 1 0.10935 0 1
 84 0.88201 1 1 0.11799 0 1
 85 0.74510 1 1 0.25490 0 1
 86 0.86455 1 1 0.13545 0 1
 87 0.90262 1 1 0.09738 0 1
 88 0.83972 1 1 0.16028 0 1
 89 0.71334 0 0 0.28666 0 0
 90 0.72870 0 0 0.27130 0 0
 91 0.35028 0 0 0.64972 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
