# EEMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 10:58:32 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.81748 3 3 0.18252 1 3
 52 0.87298 3 3 0.12702 0 3
 53 0.78440 3 4 0.21560 1 4
 54 0.79622 3 4 0.20378 1 4
 55 0.86728 2 2 0.13272 0 2
 56 0.79221 3 3 0.20779 1 3
 57 0.70803 3 4 0.29197 1 4
 58 0.77138 3 4 0.22862 1 4
 59 0.74029 2 3 0.25971 1 3
 60 0.71547 3 4 0.28453 1 4
 61 0.85234 2 2 0.14766 0 2
 62 0.74547 2 3 0.25453 1 3
 63 0.88239 3 3 0.11761 0 3
 64 0.75662 2 3 0.24338 1 3
 65 0.82981 3 3 0.17019 1 3
 66 0.65647 2 3 0.34353 1 3
 67 0.73171 2 3 0.26829 1 3
 68 0.65208 2 3 0.34792 1 3
 69 0.79998 2 3 0.20002 1 3
 70 0.64693 1 2 0.35307 1 2
 71 0.58547 1 2 0.41453 1 2
 72 0.64317 1 2 0.35683 1 2
 73 0.68113 1 1 0.31887 0 1
 74 0.68335 1 2 0.31665 1 2
 75 0.59211 1 2 0.40789 1 2
 76 0.58336 1 2 0.41664 1 2
 77 0.77647 1 1 0.22353 0 1
 78 0.58024 1 2 0.41976 1 2
 79 0.55819 1 2 0.44181 1 2
 80 0.56833 1 1 0.43167 1 1
 81 0.48645 0 1 0.51355 0 1
 82 0.54543 1 1 0.45457 0 1
 83 0.58172 1 1 0.41828 0 1
 84 0.52039 1 1 0.47961 1 1
 85 0.55219 1 1 0.44781 0 1
 86 0.63114 0 1 0.36886 0 1
 87 0.23932 0 1 0.76068 0 1
 88 0.25117 0 0 0.74883 0 0
 89 0.77028 0 0 0.22972 0 0
 90 0.43212 0 0 0.56788 0 0
 91 0.80405 0 0 0.19595 0 0
 92 0.33451 0 0 0.66549 0 0
 93 1.00000 0 0 0.00000 0 0
 94 1.00000 0 0 0.00000 0 0
 95 0.00000 0 0 1.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
 98 NaNq 0 0 NaNq 0 0
