# EEFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.42686 1 3 0.57314 2 3
 52 0.27270 1 2 0.72730 2 2
 53 0.27611 1 3 0.72389 2 3
 54 0.30367 1 2 0.69633 2 2
 55 0.45834 1 2 0.54166 1 2
 56 0.39329 1 3 0.60671 2 3
 57 0.30717 1 3 0.69283 2 3
 58 0.32741 1 3 0.67259 2 3
 59 0.20220 1 3 0.79780 2 3
 60 0.25166 1 3 0.74834 2 3
 61 0.26267 1 3 0.73733 2 3
 62 0.11634 0 2 0.88366 2 2
 63 0.16033 0 2 0.83967 2 2
 64 0.17705 0 2 0.82295 2 2
 65 0.16559 0 3 0.83441 2 3
 66 0.18998 0 3 0.81002 2 3
 67 0.15631 0 3 0.84369 3 3
 68 0.14083 0 3 0.85917 2 3
 69 0.14897 0 2 0.85103 2 2
 70 0.08756 0 2 0.91244 2 2
 71 0.12799 0 1 0.87201 1 1
 72 0.12270 0 2 0.87730 2 2
 73 0.10443 0 3 0.89557 2 3
 74 0.10441 0 2 0.89559 2 2
 75 0.09473 0 3 0.90527 3 3
 76 0.05038 0 3 0.94962 2 3
 77 0.09424 0 2 0.90576 2 2
 78 0.05750 0 2 0.94250 2 2
 79 0.05373 0 2 0.94627 2 2
 80 0.06741 0 2 0.93259 2 2
 81 0.01040 0 2 0.98960 2 2
 82 0.02109 0 2 0.97891 2 2
 83 0.02754 0 2 0.97246 2 2
 84 0.06681 0 2 0.93319 1 2
 85 0.09373 0 1 0.90627 1 1
 86 0.06858 0 1 0.93142 1 1
 87 0.03570 0 1 0.96430 1 1
 88 0.04544 0 1 0.95456 1 1
 89 0.06895 0 1 0.93105 0 1
 90 0.05882 0 1 0.94118 1 1
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
