# ATMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.00000 0 0 1.00000 0 0
 52 1.00000 0 0 0.00000 0 0
 53 0.46228 1 1 0.53772 1 1
 54 0.41792 1 4 0.58208 2 4
 55 0.31937 2 7 0.68063 5 7
 56 0.36861 2 4 0.63139 3 4
 57 0.28933 1 5 0.71067 4 5
 58 0.29388 1 5 0.70612 3 5
 59 0.41991 2 5 0.58009 3 5
 60 0.20128 0 2 0.79872 2 2
 61 0.26728 1 2 0.73272 2 2
 62 0.36441 1 2 0.63559 1 2
 63 0.23373 1 3 0.76627 2 3
 64 0.24499 1 2 0.75501 2 2
 65 0.39148 1 2 0.60852 2 2
 66 0.21974 1 3 0.78026 2 3
 67 0.19289 0 3 0.80711 2 3
 68 0.16800 0 2 0.83200 2 2
 69 0.16955 0 3 0.83045 2 3
 70 0.30343 1 2 0.69657 1 2
 71 0.26726 1 2 0.73274 2 2
 72 0.17367 0 2 0.82633 1 2
 73 0.09273 0 2 0.90727 2 2
 74 0.08178 0 3 0.91822 2 3
 75 0.27678 1 2 0.72322 2 2
 76 0.19600 0 2 0.80400 2 2
 77 0.16183 0 1 0.83817 1 1
 78 0.26007 0 2 0.73993 1 2
 79 0.08807 0 1 0.91193 1 1
 80 0.19669 0 1 0.80331 1 1
 81 0.15889 0 1 0.84111 1 1
 82 0.00000 0 1 1.00000 1 1
 83 0.43981 0 0 0.56019 0 0
 84 0.25743 0 1 0.74257 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.08959 0 1 0.91041 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.00000 0 1 1.00000 1 1
 89 0.25858 0 0 0.74142 0 0
 90 0.13348 0 0 0.86652 0 0
 91 0.37599 0 0 0.62401 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 NaNq 0 0 NaNq 0 0
