# ATMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:36 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.00000 0 0 1.00000 0 0
 52 1.00000 0 0 0.00000 0 0
 53 0.46228 1 1 0.53772 1 1
 54 0.41792 2 4 0.58208 2 4
 55 0.31937 2 7 0.68063 5 7
 56 0.36861 2 4 0.63139 3 4
 57 0.28933 1 5 0.71067 4 5
 58 0.28237 1 5 0.71763 3 5
 59 0.41991 2 5 0.58009 3 5
 60 0.17333 0 2 0.82667 2 2
 61 0.26728 1 2 0.73272 2 2
 62 0.36893 1 2 0.63107 1 2
 63 0.23373 1 3 0.76627 2 3
 64 0.23862 1 2 0.76138 2 2
 65 0.39148 1 3 0.60852 2 3
 66 0.21975 1 3 0.78025 2 3
 67 0.19289 0 3 0.80711 2 3
 68 0.16800 0 2 0.83200 2 2
 69 0.16955 0 3 0.83045 2 3
 70 0.29981 1 2 0.70019 1 2
 71 0.26263 1 2 0.73737 2 2
 72 0.17802 0 2 0.82198 1 2
 73 0.09141 0 2 0.90859 2 2
 74 0.08298 0 3 0.91702 2 3
 75 0.27743 1 2 0.72257 2 2
 76 0.19322 0 2 0.80678 2 2
 77 0.16784 0 1 0.83216 1 1
 78 0.26008 0 2 0.73992 1 2
 79 0.08807 0 1 0.91193 1 1
 80 0.20291 0 1 0.79709 1 1
 81 0.15889 0 1 0.84111 1 1
 82 0.00000 0 1 1.00000 1 1
 83 0.43981 0 0 0.56019 0 0
 84 0.29786 0 1 0.70214 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.08959 0 1 0.91041 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.00000 0 1 1.00000 1 1
 89 0.25858 0 0 0.74142 0 0
 90 0.13347 0 0 0.86653 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
