# PLMsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Mon May 27 20:51:17 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.58176 2 4 0.41824 2 4
 52 0.64428 2 3 0.35572 1 3
 53 0.58518 1 2 0.41482 1 2
 54 0.72003 2 3 0.27997 1 3
 55 0.72307 2 2 0.27693 1 2
 56 0.59571 3 5 0.40429 2 5
 57 0.82890 2 3 0.17110 0 3
 58 0.51191 2 3 0.48809 1 3
 59 0.40266 2 4 0.59734 3 4
 60 0.51602 2 4 0.48398 2 4
 61 0.54935 1 2 0.45065 1 2
 62 0.47708 2 5 0.52292 2 5
 63 0.29054 1 4 0.70946 3 4
 64 0.46003 1 2 0.53997 1 2
 65 0.36779 1 3 0.63221 2 3
 66 0.53490 1 3 0.46510 1 3
 67 0.45819 1 3 0.54181 1 3
 68 0.38149 1 2 0.61851 1 2
 69 0.31366 1 3 0.68634 2 3
 70 0.48160 1 2 0.51840 1 2
 71 0.28695 1 2 0.71305 1 2
 72 0.38802 1 1 0.61198 1 1
 73 0.42240 0 1 0.57760 0 1
 74 0.44055 1 1 0.55945 1 1
 75 0.34349 0 1 0.65651 1 1
 76 0.14203 0 1 0.85797 1 1
 77 0.46339 1 1 0.53661 1 1
 78 0.29088 0 2 0.70912 1 2
 79 0.36461 1 2 0.63539 1 2
 80 0.35040 0 1 0.64960 1 1
 81 0.00000 0 1 1.00000 1 1
 82 0.22626 0 1 0.77374 1 1
 83 0.26341 0 1 0.73659 1 1
 84 0.10452 0 1 0.89548 1 1
 85 0.13426 0 1 0.86574 0 1
 86 0.00000 0 0 1.00000 0 0
 87 0.00000 0 0 1.00000 0 0
 88 0.00000 0 0 1.00000 0 0
 89 0.50000 0 0 0.50000 0 0
 90 0.83474 0 0 0.16526 0 0
 91 0.65051 0 0 0.34949 0 0
 92 0.62244 0 0 0.37756 0 0
 93 0.00000 0 0 1.00000 0 0
 94 NaNq 0 0 NaNq 0 0
 95 NaNq 0 0 NaNq 0 0
