# HRMchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.57501 0 1 0.42499 0 1
 52 0.47660 2 3 0.52340 2 3
 53 0.38494 2 4 0.61506 2 4
 54 0.39947 2 5 0.60053 3 5
 55 0.32760 1 3 0.67240 2 3
 56 0.28958 1 4 0.71042 3 4
 57 0.50536 2 4 0.49464 2 4
 58 0.29391 1 4 0.70609 3 4
 59 0.35729 1 3 0.64271 2 3
 60 0.29350 1 4 0.70650 3 4
 61 0.32435 1 3 0.67565 2 3
 62 0.18070 0 2 0.81930 2 2
 63 0.25292 1 3 0.74708 2 3
 64 0.26809 1 2 0.73191 2 2
 65 0.14419 1 4 0.85581 3 4
 66 0.20777 1 3 0.79223 2 3
 67 0.32027 1 2 0.67973 2 2
 68 0.22748 1 3 0.77252 2 3
 69 0.14499 0 2 0.85501 2 2
 70 0.16191 0 2 0.83809 1 2
 71 0.17907 0 2 0.82093 2 2
 72 0.20241 0 2 0.79759 2 2
 73 0.09241 0 2 0.90759 2 2
 74 0.08909 0 3 0.91091 2 3
 75 0.09523 0 2 0.90477 2 2
 76 0.17599 0 2 0.82401 1 2
 77 0.12821 0 1 0.87179 1 1
 78 0.15824 0 1 0.84176 1 1
 79 0.07649 0 1 0.92351 1 1
 80 0.32072 0 1 0.67928 1 1
 81 0.33175 0 1 0.66825 1 1
 82 0.09694 0 2 0.90306 2 2
 83 0.15748 0 1 0.84252 0 1
 84 0.00000 0 1 1.00000 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.73191 0 0 0.26809 0 0
 87 0.00000 0 0 1.00000 0 0
 88 0.00000 0 0 1.00000 0 0
 89 0.43889 0 0 0.56111 0 0
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
