# DEFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:21:37 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.24671 0 1 0.75329 1 1
 52 0.28193 1 3 0.71807 2 3
 53 0.35881 1 4 0.64119 2 4
 54 0.41585 1 3 0.58415 2 3
 55 0.27280 1 3 0.72720 2 3
 56 0.24190 1 4 0.75810 3 4
 57 0.25361 1 3 0.74639 2 3
 58 0.26743 1 3 0.73257 2 3
 59 0.30998 1 3 0.69002 2 3
 60 0.32011 1 2 0.67989 2 2
 61 0.19413 1 3 0.80587 2 3
 62 0.15251 0 2 0.84749 2 2
 63 0.16436 0 3 0.83564 2 3
 64 0.26301 1 3 0.73699 2 3
 65 0.15887 0 3 0.84113 2 3
 66 0.13513 0 3 0.86487 2 3
 67 0.15745 0 3 0.84255 2 3
 68 0.11659 0 2 0.88341 1 2
 69 0.14458 0 1 0.85542 1 1
 70 0.16134 0 2 0.83866 2 2
 71 0.17379 0 2 0.82621 2 2
 72 0.17660 1 3 0.82340 2 3
 73 0.06235 0 3 0.93765 2 3
 74 0.14690 0 3 0.85310 3 3
 75 0.28227 1 2 0.71773 1 2
 76 0.15265 0 3 0.84735 2 3
 77 0.18526 0 2 0.81474 2 2
 78 0.06789 0 2 0.93211 2 2
 79 0.08514 0 2 0.91486 2 2
 80 0.00000 0 2 1.00000 2 2
 81 0.02653 0 2 0.97347 2 2
 82 0.00000 0 1 1.00000 1 1
 83 0.00000 0 1 1.00000 1 1
 84 0.10082 0 1 0.89918 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.15658 0 1 0.84342 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.00000 0 1 1.00000 1 1
 89 0.14612 0 1 0.85388 1 1
 90 0.00000 0 0 1.00000 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
 93 NaNq 0 0 NaNq 0 0
